# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1518188	DIY	3	10219	0	7	4.6	719829	293	recent@devs|top@devs	HOT,SIGNAL,SELF_POST_OPP	Plunda.co has a new home!
1518130	bitcoin	1	2831	0	1	10.1	593189	831	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Money Laundering Index (Orlin Grabbe archive, 1990s cypherpunk)
1518135	bitcoin	1	2574	0	3	9.7	190751	46	recent@bitcoin|top@bitcoin	HOT,SIGNAL	NO CONSENSUS FOR CONSENSUS CLEANUP
1518114	lightning	1	1155	0	6	11.2	223678	5743	recent@lightning|top@lightning	HOT,SIGNAL	1 Dumb mistake = nuked my entire lightning node privacy?
1518186	AI	1	491	0	1	4.6	297791	7603	recent@AI|top@AI	SIGNAL	OpenAI proposes 5% stake to Trump administration to ease Washington pressure
1518157	bitcoin_beginners	1	240	0	0	7.4	296825	4747	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitdevs	SIGNAL	On Bridging The Gap Between Devs And Users
1518119	nostr	1	216	0	0	11.0	144357	4306	recent@nostr|top@nostr	SIGNAL	Sidecar | A Classy Nostr Signer - Chrome Web Store
1518189	lightning	1	197	0	0	4.5	163128	3633	recent@lightning|top@lightning	SIGNAL	BareBits/electrum_clink: A CLINK/noffer plugin for electrum
1517846	bitcoin	1	4700	0	2	20.6	1014665	198	recent@bitcoin|top@bitcoin	HOT	LND DoS bug, libevent removal, Q&A - Bitcoin Optech Newsletter #411 Podcast
1517824	bitcoin	1	1639	0	6	21.6	1242375	100	recent@bitcoin|top@bitcoin	HOT	What would you put in your genesis block?
1517897	bitcoin	1	1584	0	14	18.6	74100	10958	recent@bitcoin|top@bitcoin	HOT	Bitcoin Is Not Freedom: The Delusion of Digital Escape - Mises Institute
1517976	AI	1	1539	0	2	16.6	724606	11092	recent@AI|top@AI	HOT	Let AI Generate Your World Cup Predictions (FT, Louis Ashworth)
1517738	bitcoin	1	1346	0	9	23.9	74100	10958	recent@bitcoin|top@bitcoin	HOT	Reflections Upon Bitcoin's Block Size Debate
1517590	bitcoin	1	1162	0	2	34.4	74100	10958	recent@bitcoin	HOT	The first Bitcoin Taproot spend transactions - jaonoctus
1517928	bitcoin_beginners	1	1022	0	8	17.6	532976	114	recent@bitcoin_beginners|top@bitcoin_beginners	HOT	The role of cash (banknotes) in a post fiat society
1517877	bitcoin	1	742	0	2	19.5	1517877	3	recent@bitcoin|top@bitcoin		Solar ASIC – Automate Bitcoin miners with your solar surplus (Home Assistant)
