# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1518188	DIY	3	10341	0	19	10.0	719829	298	recent@devs|top@devs	HOT,SIGNAL,SELF_POST_OPP	Plunda.co has a new home!
1518216	Stacker_Sports	3	1259	0	3	8.4	724606	11105	recent@econ|top@econ	HOT,SIGNAL	Prediction Markets Are How We Know What We Know (Bloomberg, Christopher Beam)
1518404	lightning	1	1071	0	13	2.6	1297604	15	recent@lightning|top@lightning	HOT,SIGNAL	[Pre-Release]LND Dashboard - Seeking Feedback from Node Runners
1518526	bitcoin	1	1020	0	2	0.4	24585	355	recent@bitcoin|top@bitcoin|recent@lightning	FRESH,HOT,SIGNAL	Latest Strikes 25&26 - June 15th - 28th 2026
1518512	AI	1	1017	0	0	0.9	724606	11105	recent@AI|top@AI|recent@econ	FRESH,HOT,SIGNAL	A.I. Is Reshaping the Economy. Good Luck Measuring How. (NYT, Ben Casselman)
1518384	bitcoin	1	732	0	2	3.3	74100	10975	recent@bitcoin|top@bitcoin|recent@bitcoin_Mining	SIGNAL	Merge Mining Monitor - deadmanoz
1518300	bitcoin	1	723	0	2	4.6	699824	155	recent@bitcoin|top@bitcoin|recent@lightning	SIGNAL	Breez's Class of Q2 2026 👀⚡️ - 13 more apps featured!
1518275	bitcoin	1	705	0	2	5.3	74100	10975	recent@bitcoin|top@bitcoin	SIGNAL	How to search for OP_RETURN text
1518438	lightning	1	574	0	0	1.9	280679	22337	recent@lightning|top@lightning	FRESH,SIGNAL	Release v13.1.2 · ZeusLN/zeus
1518326	Stacker_Stocks	2	527	0	5	4.1	9274	24216	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL,SELF_POST_OPP	STRC Payout #6: He Posts 👉He SCORES!!
1518186	AI	1	491	0	1	10.0	297791	7603	recent@AI|top@AI	SIGNAL	OpenAI proposes 5% stake to Trump administration to ease Washington pressure
1518469	bitcoin	1	479	0	12	1.4	74100	10975	recent@bitcoin|top@bitcoin|recent@lightning	FRESH,SIGNAL	We're Sunsetting Self-Serve at Voltage: Enterprise is Our Future - Voltage
1518171	Politics_And_Law	3	412	0	0	11.1	147412	1418	recent@history|top@history	SIGNAL	The Benefits for maintaining the Business of Continuous Wars
1518207	news	2	394	0	0	8.8	126503	781	recent@news|top@news	SIGNAL	Google loses fight against record €4.1 billion EU antitrust fine
1518407	Stacker_Stocks	2	371	0	0	2.5	280679	22337	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL	Tesla sales increase by 25% in Q2 2026
1518433	math	2	345	0	1	2.0	74100	10975	recent@bitcoin|top@bitcoin|recent@math	SIGNAL	Multisignatures and aggregate signatures - Tim Ruffing (Eurocrypt Talk)
1518256	econ	2	337	0	0	5.8	402772	22140	recent@econ|top@econ	SIGNAL	U.S. added 57,000 jobs in June, less than expected; unemployment rate at 4.2%
1518434	tech	1	329	0	0	2.0	144357	4309	recent@tech|top@tech	FRESH,SIGNAL	I Tried Rips, the Card-Pack App Where Users Spend $$$ Chasing Pricey Pokémon
1518289	Politics_And_Law	3	315	0	4	4.9	74100	10975	recent@econ|top@econ|recent@Stacker_Stocks	SIGNAL	The Secret History of Polymarket: Part 1 - Whitney Webb and Mark Goodwin
1518417	Design	2	240	0	0	2.3	383547	3287	recent@Design|top@Design	SIGNAL	Designing services for people who’ve lost trust online
1518282	history	2	240	0	2	5.2	1512518	36	recent@history|top@history	SIGNAL	Daily Bitcoin Lore (8 years ago): Voorhees Defeats Schiff at the Soho Forum
1518189	lightning	1	233	0	0	9.9	163128	3633	recent@lightning|top@lightning	SIGNAL	BareBits/electrum_clink: A CLINK/noffer plugin for electrum
1518241	Stacker_Stocks	2	219	0	3	6.4	38951	2222	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL	Trump is the most openly corrupt politician in history
1518271	Design	2	204	0	0	5.5	383547	3287	recent@Design|top@Design	SIGNAL	On the semantic web
1518388	history	2	204	0	0	3.2	1512518	36	recent@history|top@history	SIGNAL	Daily Bitcoin Lore (12 years ago): Coinbase Vault and the 48-Hour Withdrawal
1518180	bitcoin	1	136	0	0	10.4	1401899	204	recent@history|top@history	SIGNAL	Episode #3 — The Man Who Spent 10,000 Bitcoin to Save a Dog
1518208	Stacker_Stocks	2	122	0	10	8.8	9274	24216	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL	Daily Stock Discussion ~Stacker_Stocks
1518371	AI	1	109	0	3	3.6	238412	190	recent@AI|top@AI	SIGNAL	PSA From Palantir
1518225	charts_and_maps	2	109	0	0	7.9	280679	22337	recent@charts_and_maps|top@charts_and_maps	SIGNAL	Which Continents Have the Most Drug Users?
1518246	lightning	1	104	0	5	6.2	263526	447	recent@lightning|top@lightning	SIGNAL	@TheBlueMatt 🟠 Lightning payment 99% success rates is remotely acceptable
