# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1518188	DIY	3	10341	0	17	8.3	719829	298	recent@devs|top@devs	HOT,SIGNAL,SELF_POST_OPP	Plunda.co has a new home!
1518216	Stacker_Sports	3	1259	0	3	6.7	724606	11100	recent@econ|top@econ	HOT,SIGNAL	Prediction Markets Are How We Know What We Know (Bloomberg, Christopher Beam)
1518404	lightning	1	1071	0	8	0.9	1297604	12	recent@lightning|top@lightning	FRESH,HOT,SIGNAL	[Pre-Release]LND Dashboard - Seeking Feedback from Node Runners
1518162	charts_and_maps	2	826	0	3	10.6	241	2833	recent@Stacker_Stocks|top@Stacker_Stocks|recent@charts_and_maps	SIGNAL	Trump outearned every publicly traded crypto firm in 2025
1518300	bitcoin	1	723	0	2	2.9	699824	155	recent@bitcoin|top@bitcoin|recent@lightning	SIGNAL	Breez's Class of Q2 2026 👀⚡️ - 13 more apps featured!
1518326	Stacker_Stocks	2	527	0	5	2.4	9274	24216	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL,SELF_POST_OPP	STRC Payout #6: He Posts 👉He SCORES!!
1518384	bitcoin	1	502	0	2	1.5	74100	10968	recent@bitcoin|top@bitcoin|recent@bitcoin_Mining	FRESH,SIGNAL	Merge Mining Monitor - deadmanoz
1518275	bitcoin	1	498	0	0	3.6	74100	10968	recent@bitcoin|top@bitcoin	SIGNAL	How to search for OP_RETURN text
1518186	AI	1	491	0	1	8.3	297791	7603	recent@AI|top@AI	SIGNAL	OpenAI proposes 5% stake to Trump administration to ease Washington pressure
1518171	Politics_And_Law	3	412	0	0	9.3	147412	1418	recent@history|top@history	SIGNAL	The Benefits for maintaining the Business of Continuous Wars
1518207	news	2	394	0	0	7.0	126503	781	recent@news|top@news	SIGNAL	Google loses fight against record €4.1 billion EU antitrust fine
1518256	econ	2	337	0	0	4.1	402772	22140	recent@econ|top@econ	SIGNAL	U.S. added 57,000 jobs in June, less than expected; unemployment rate at 4.2%
1518289	Politics_And_Law	3	315	0	4	3.1	74100	10968	recent@econ|top@econ|recent@Stacker_Stocks	SIGNAL	The Secret History of Polymarket: Part 1 - Whitney Webb and Mark Goodwin
1518407	Stacker_Stocks	2	314	0	0	0.8	280679	22333	recent@Stacker_Stocks|top@Stacker_Stocks	FRESH,SIGNAL	Tesla sales increase by 25% in Q2 2026
1518433	math	2	288	0	0	0.3	74100	10968	recent@bitcoin|top@bitcoin|recent@math	FRESH,SIGNAL	Multisignatures and aggregate signatures - Tim Ruffing (Eurocrypt Talk)
1518438	lightning	1	258	0	0	0.1	280679	22333	recent@lightning|top@lightning	FRESH,SIGNAL	Release v13.1.2 · ZeusLN/zeus
1518157	bitcoin_beginners	1	240	0	1	11.1	296825	4748	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitdevs	SIGNAL	On Bridging The Gap Between Devs And Users
1518282	history	2	240	0	2	3.5	1512518	36	recent@history|top@history	SIGNAL	Daily Bitcoin Lore (8 years ago): Voorhees Defeats Schiff at the Soho Forum
1518189	lightning	1	233	0	0	8.1	163128	3633	recent@lightning|top@lightning	SIGNAL	BareBits/electrum_clink: A CLINK/noffer plugin for electrum
1518417	Design	2	204	0	0	0.6	383547	3287	recent@Design|top@Design	FRESH,SIGNAL	Designing services for people who’ve lost trust online
1518271	Design	2	204	0	0	3.7	383547	3287	recent@Design|top@Design	SIGNAL	On the semantic web
