# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1525788	bitcoin	1	10661	0	12	9.8	30782	25139	recent@bitcoin|top@bitcoin	HOT,SIGNAL	When The Financial System Can’t Reach People In Crisis, Bitcoin Can
1525893	gaming	3	2217	0	6	6.2	13531	1677	recent@tech|top@tech	HOT,SIGNAL,SELF_POST_OPP	The PS6 sure sounds like a handheld
1525899	AI	1	1168	0	1	6.0	13531	1677	recent@privacy|top@privacy|recent@tech	HOT,SIGNAL	COMPUTER COPS: Inside the big business of selling AI to the police
1525907	bitcoin	1	1077	0	2	5.8	724606	11523	recent@bitcoin|top@bitcoin	HOT,SIGNAL	BOOK on BOOKS: "Hijacking Bitcoin: The Hidden History of BTC," by Roger Ver
1525752	lightning	1	936	0	5	11.5	263526	480	recent@lightning|top@lightning	SIGNAL	"Be your own bank" they say, gain a 3% APY. That's a -1% APY 4yo LN node story
1525829	lightning	1	863	0	4	8.1	263526	480	recent@lightning|top@lightning	SIGNAL	WoS adds Stablecoins on Lightning
1525904	bitcoin	1	832	0	4	5.8	74100	11265	recent@bitcoin|top@bitcoin	SIGNAL	📣 AMA Announcement: Mechanic - FRIDAY 1PM
1525818	AI	1	782	0	2	8.3	280679	22451	recent@AI|top@AI	SIGNAL	Linus Torvalds tells AI haters to fork off
1525867	bitcoin	1	667	0	9	7.0	74100	11265	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	SIGNAL	hardware wallets vs dedicated generic devices
1525776	bitcoin	1	540	0	1	10.3	263526	480	recent@bitcoin|top@bitcoin	SIGNAL	Your Bitcoin Live Dashboard: Price, Hashrate, Halving & On-Chain Data
1525920	bitcoin_beginners	1	500	0	1	5.4	296825	4856	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitcoin_Mining	SIGNAL	Parasite has now started gaining network hashrate
1525836	AI	1	455	0	0	7.9	401865	8282	recent@AI|top@AI	SIGNAL	Nvidia Unveils New AI Model and Expands Japan’s Physical AI Ecosystem
1525856	lightning	1	406	0	1	7.4	440729	195	recent@lightning|top@lightning	SIGNAL	Biggest Channel Opened Today (5.0 BTC) + New Node Spotlight (032d728c40af0db62…)
1525929	bitcoin	1	403	0	1	5.2	699824	160	recent@bitcoin|top@bitcoin|recent@lightning	SIGNAL	Breez x Turnkey: Instant Bitcoin at Enterprise Scale 🔥
