# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1494533	bitcoin	1	799	0	4	9.1	48657	13875	recent@bitcoin|top@bitcoin	SIGNAL	Iran Moved Billions Through Binance to Fund Regime—Continuing Into This Month
1494520	bitcoin_beginners	1	706	0	0	9.8	296825	4425	recent@bitcoin_beginners|top@bitcoin_beginners	SIGNAL	Bitcoin Circular Economies in African
1494512	bitcoin_Mining	1	549	0	4	10.3	30782	24771	recent@bitcoin_Mining|top@bitcoin_Mining	SIGNAL	Ocean hit 8 blocks yesterday
1494587	tech	1	516	0	7	4.3	468220	106	recent@tech|top@tech	SIGNAL	Morse Code Cheat Sheet
1494585	nostr	1	458	0	11	4.5	1278026	498	recent@lightning|top@lightning|recent@nostr	SIGNAL	Bro app
1494655	Stacker_Stocks	2	373	0	1	1.1	280679	21533	recent@Stacker_Stocks|top@Stacker_Stocks	FRESH,SIGNAL	Sphere 3D shareholders approve Cathedra Bitcoin combination
1494579	Construction_and_Engineering	2	353	0	0	5.1	1022234	486	recent@Construction_and_Engineering|top@Construction_and_Engineering	SIGNAL	PoW 5/21/26
1494626	gaming	3	348	0	2	1.7	280679	21533	recent@Design|top@Design|recent@lol	FRESH,SIGNAL	Jacket Turned Cyberpunk Wearable OLED Display
1494591	Design	2	282	0	0	3.2	383547	3107	recent@Design|top@Design	SIGNAL	It’s Dieter’s Birthday,  Watch Rams Documentary!
1494550	BooksAndArticles	2	282	0	0	8.1	487489	188	recent@BooksAndArticles|top@BooksAndArticles	SIGNAL	writing without book writing day 12: some chapters come to a close.
1494684	bitcoin_beginners	1	183	0	0	0.4	30782	24771	recent@bitcoin_beginners|top@bitcoin_beginners	FRESH,SIGNAL	Bitcoin Beginners Newsletter, Issue 102
1494685	econ	2	139	0	0	0.4	280679	21533	recent@econ|top@econ	FRESH,SIGNAL	Boomers vs. Doomers | “eat and drink, tomorrow we die”
1494627	AI	1	126	0	1	1.6	9274	22694	recent@AI|top@AI|recent@Stacker_Stocks	FRESH,SIGNAL	🥁 Nvidia beats again - Snacks
1494021	bitcoin_beginners	1	4037	0	14	31.3	91133	70	recent@bitcoin_beginners	HOT	get on bitcoin // super normie friendly site
1494267	science	2	3296	0	16	19.0	48657	13875	recent@bitcoin|top@bitcoin|recent@science	HOT,SELF_POST_OPP	Why I don't think there will be a secret quantum attack on bitcoin
1494193	bitcoin	1	2739	0	7	20.9	12393	442	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	HOT	Bitcoin Doesn't Work Like a Bank Account
1494222	Stacker_Stocks	2	2318	0	7	20.2	328486	4107	recent@Stacker_Stocks|top@Stacker_Stocks	HOT,SELF_POST_OPP	New Bitcoin company IPO: VIDA
1494061	lightning	1	2144	0	12	28.5	1494058	6	recent@lightning	HOT	Faraday: A pastebin that cages your paste. Pay 210sats and it reopens for all
