# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1531592	bitcoin	1	10880	0	0	1.5	1014665	217	recent@bitcoin|top@bitcoin	FRESH,HOT,SIGNAL	Full signature aggregation BIP draft - Bitcoin Optech Newsletter #415
1531543	bitcoin	1	4456	0	4	2.4	133081	688	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Bitcoin Optech Newsletter #415
1531405	history	2	2575	0	2	9.3	296825	4941	recent@econ|top@econ|recent@history	HOT,SIGNAL	Window Tax abolished
1531455	meta	1	2513	0	44	5.0	372287	3350	recent@meta|top@meta	HOT,SIGNAL	Bot & Slop we should mute
1531428	bitcoin	1	2431	0	0	6.4	296825	4941	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	HOT,SIGNAL	Today in History - Bitcoin: The Trust Anchor in a Sea of Blockchains (2016)
1531498	tech	1	2262	0	1	3.7	296825	4941	recent@devs|top@devs|recent@tech	HOT,SIGNAL	The Tor Project Sunsetting Tor 0.4.8 – Please update to 0.4.9 by September
1531606	bitcoin	1	1210	0	7	1.2	1242375	122	recent@bitcoin|top@bitcoin|recent@bitcoin_Mining	FRESH,HOT,SIGNAL	Do you mine bitcoin?
1531640	Stacker_Stocks	2	1201	0	3	0.6	9274	25319	recent@Stacker_Stocks|top@Stacker_Stocks	FRESH,HOT,SIGNAL	I bought a Tokenized Stock on Securitize (SECZ). My Challenging Experience
1531625	bitcoin_Mining	1	658	0	2	0.8	280679	22563	recent@bitcoin_Mining|top@bitcoin_Mining	FRESH,SIGNAL	Bitcoin Mining Pool Poolin Files for Chapter 11 Bankruptcy
1531552	AskSN	2	639	0	2	2.3	984933	1704	recent@AskSN|top@AskSN|recent@history	SIGNAL	Did you know that...?
1531371	bitcoin_Mining	1	600	0	5	11.9	74100	11498	recent@bitcoin_Mining|top@bitcoin_Mining	SIGNAL	Mining Disrupt Conference YouTube channel terminated during conferencd
1531534	bitcoin_beginners	1	527	0	3	2.7	30782	25228	recent@bitcoin_beginners|top@bitcoin_beginners	SIGNAL	Top Posts Of The Week
1531608	news	2	509	0	1	1.2	280679	22563	recent@news|top@news	FRESH,SIGNAL	Arthur, BitMEX co-founders face fraud claims over alleged 'Insider Trading Desk'
1531580	lightning	1	506	0	0	1.8	440729	205	recent@lightning|top@lightning	FRESH,SIGNAL	Biggest Channel Opened Today (2.1 BTC) + New Node Spotlight (032554ee7e8302f67…)
1531423	science	2	495	0	0	6.8	296825	4941	recent@science|top@science	SIGNAL	NASA is playing God
1531584	Stacker_Stocks	2	456	0	0	1.7	280679	22563	recent@Stacker_Stocks|top@Stacker_Stocks	FRESH,SIGNAL	Five investments that ruin your portfolio
1531415	bitcoin	1	432	0	0	7.9	296825	4941	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	SIGNAL	Bitcoin Consensus "is NOT Changed by Proof Of Node"
1531599	bitcoin_Mining	1	410	0	0	1.3	74100	11498	recent@bitcoin_Mining|top@bitcoin_Mining|recent@AMA	FRESH,SIGNAL	📣 AMA Announcement: Nick Hansen, CEO of Luxor!
1531410	AI	1	378	0	0	8.3	1054143	996	recent@AI|top@AI|recent@AskSN	SIGNAL	From Search Engines to AI: Are We Watching the Next Big Shift in How We Think?
1531567	bitcoin	1	365	0	1	2.0	900202	2520	recent@bitcoin|top@bitcoin	SIGNAL	Jack Mallers is one of the good ones
1531403	bitcoin	1	286	0	0	10.3	296825	4941	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	SIGNAL	Bisq Release v1.10.4: Important update
1531397	bitcoin	1	282	0	0	10.9	296825	4941	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	SIGNAL	Btrust Announce First Batch of 2026 Event Grants: Supporting Bitcoin Devs Growth
1531570	AI	1	263	0	1	2.0	296825	4941	recent@tech|top@tech|recent@AI	FRESH,SIGNAL	AI may exceed the sum of human intelligence in around five years. - Elon Musk
1531518	bitcoin	1	247	0	1	3.3	296825	4941	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	SIGNAL	Why Bip110 Can't stop spam
1531411	bitcoin_beginners	1	229	0	2	8.1	296825	4941	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitcoinplusplus	SIGNAL	Introducing Vinteum’s New Fellowship Cycle
1531664	AI	1	161	0	0	0.2	280679	22563	recent@AI|top@AI	FRESH,SIGNAL	AI Kill Switch Act would let Trump admin order shutdown of rogue AI systems
1531636	lol	2	146	0	1	0.7	280679	22563	recent@AI|top@AI|recent@lol	FRESH,SIGNAL	Meta launched a new AI optimism ad set to a song about human extinction
1531454	meta	1	132	0	0	5.0	36151	1565	recent@meta|top@meta	SIGNAL	This Day on SN: July 24
1531441	news	2	131	0	1	5.8	1054143	996	recent@news|top@news	SIGNAL	Real Madrid legend Ancelotti rivals Barcelona great Guardiola for Italy job
1531392	bitcoin_beginners	1	120	0	0	11.1	296825	4941	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitdevs	SIGNAL	Bitcoin Dev Kit CLI Release version 4.0.0
1531404	Construction_and_Engineering	2	120	0	0	9.3	1022234	559	recent@Construction_and_Engineering|top@Construction_and_Engineering	SIGNAL	PoW 7/23/26
1531553	Design	2	102	0	0	2.3	383547	3394	recent@Design|top@Design	SIGNAL	The algorithmic atelier
1530917	AI	1	15855	0	11	22.0	48657	14283	recent@AI|top@AI|recent@science	HOT	Research in Public #19:  The Golden Triangle for AI Research Assistants
1530614	bitcoin	1	15411	0	61	27.7	59594	6854	recent@bitcoin	HOT	Woocommerce and BTCpay server
1531046	nostr	1	11140	0	8	19.7	163128	3670	recent@lightning|top@lightning|recent@nostr	HOT	Add BOLT12 zaps by benthecarman · Pull Request #2421 · nostr-protocol/nips
1531037	Stacker_Stocks	2	10944	0	18	19.9	724606	11722	recent@econ|top@econ|recent@Stacker_Stocks	HOT,SELF_POST_OPP	A Deep Dive into Strategy Returns and Financial Wizardry
1530763	bitcoin	1	10304	0	48	24.0	1529619	24	recent@bitcoin|recent@bitcoin_Mining|recent@AMA	HOT	Michael / Schnitzel - Heatpunk, 256Foundation Engineer, OpenSource Maxi - AMA!
1530818	bitcoin	1	7376	0	33	23.5	1014665	217	recent@bitcoin|top@bitcoin	HOT	Bitcoin Security Consortium Announcement
1531033	the_stacker_muse	3	4610	0	15	20.0	900202	2520	recent@bitcoin|top@bitcoin	HOT,SELF_POST_OPP	The Proverbial Barber Orange Pill
1530989	lightning	1	3978	0	9	20.8	665515	61	recent@lightning|top@lightning	HOT	Playing with Wavelength
1530684	bitcoin	1	3262	0	33	26.2	1278026	675	recent@bitcoin|recent@bitcoin_beginners	HOT	I Went Looking at Paul Sztorc's eCash and Ended Up Rethinking Bitcoin
1530798	bitcoin	1	3044	0	6	23.7	1525529	3	recent@bitcoin|top@bitcoin	HOT	Introducing hledger-btc
1530644	bitcoin	1	3027	0	16	27.0	74100	11498	recent@bitcoin|recent@Stacker_Stocks	HOT	BitMEX is shutting down
1531113	charts_and_maps	2	2870	0	7	18.3	280679	22563	recent@charts_and_maps|top@charts_and_maps	HOT,SELF_POST_OPP	Global population growth peaked six decades ago
1530982	econ	2	2743	0	7	20.9	280679	22563	recent@econ|top@econ	HOT,SELF_POST_OPP	Why Fascists Admired Keynes's Economics
1531190	AskSN	2	2359	0	29	16.1	9274	25319	recent@AskSN|top@AskSN	HOT	Should I give my cat B12 Shots?
1530719	Politics_And_Law	3	2268	0	10	24.6	724606	11722	recent@econ	HOT,SELF_POST_OPP	Ding-Dong! The ESG Witch Is Dead! (FT, Madam Toothfairy)
1530626	bitcoin	1	2182	0	17	27.3	30782	25228	recent@bitcoin	HOT	CNBC this morning
1530730	Politics_And_Law	3	1475	0	8	24.4	724606	11722	recent@econ	HOT,SELF_POST_OPP	You Won't Believe What This Tradfi Journo Said About Prediction Markets (FT)
1530664	bitcoin	1	1216	0	0	26.8	280679	22563	recent@bitcoin	HOT	Bitcoin Inquisition 29.4
1530642	bitcoin	1	1212	0	0	27.0	24585	359	recent@bitcoin|recent@lightning	HOT	Latest Strikes #28 & #29 - July 6th-19th 2026
1530939	bitcoin_beginners	1	1172	0	0	21.6	296825	4941	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning	HOT	btcpayserver Release Version 2.4.1
1530567	AI	1	1160	0	6	29.8	12315	2310	recent@AI|recent@math|recent@science	HOT	AI solved another 6 open Erdős problems
1531073	Design	2	1112	0	0	19.1	383547	3394	recent@Design|top@Design	HOT	The Java Story (official doc)
1530938	AI	1	1099	0	0	21.6	724606	11722	recent@AI|top@AI|recent@econ	HOT	The Economics and History of Ludditism (The Economist)
1531163	econ	2	1035	0	0	16.8	724606	11722	recent@econ|top@econ	HOT	Insiders and Inside Information: Trump's Truth Social (Money Stuff, Matt Levine)
1530524	food_and_drinks	3	875	0	8	33.1	263526	509	recent@lightning	SELF_POST_OPP	Yggr - coffee, for sats
1530689	AskSN	2	819	0	16	26.0	984933	1704	recent@AskSN	SELF_POST_OPP	Where should I back up my photos?
1531003	Stacker_Stocks	2	801	0	11	20.7	280679	22563	recent@Stacker_Stocks|top@Stacker_Stocks	SELF_POST_OPP	Google just had its first negative cash flow quarter due to massive AI spending
1531287	Politics_And_Law	3	753	0	9	13.2	48657	14283	recent@econ|top@econ	SELF_POST_OPP	Elon Musk gets into it with The Economist's chief editor - Undisc takeover when?
1530928	science	2	635	0	4	21.8	401865	8305	recent@science|top@science|recent@Construction_and_Engineering		Saudi Nuclear Deal Contingent on Abraham Accords, Does Not Include Enrichment
1531258	news	2	633	0	0	14.7	984933	1704	recent@econ|top@econ|recent@news		Florida posts nation’s worst foreclosure rate in first half of 2026
1531290	news	2	613	0	1	13.1	74100	11498	recent@bitcoin|top@bitcoin|recent@news		Galaxy Launches Bitcoin Quantum Readiness Initiative
1530957	BooksAndArticles	2	551	0	5	21.4	724606	11722	recent@econ|top@econ|recent@BooksAndArticles	SELF_POST_OPP	How Norway Built the World’s Largest Fund & a Thriving Economy to Boot(Mises,JB)
1530525	AskSN	2	550	0	2	33.0	698001	9363	recent@AskSN		AskSN: Any other stackers in San Diego for Comic Con?! King Aragorn has arrived!
1531252	AI	1	537	0	8	14.7	144357	4390	recent@AI|top@AI		Cofounder of Hugging Face hacked by OpenAI models says it is 'a wake-up call'
1530509	bitcoin	1	513	0	2	34.4	74100	11498	recent@bitcoin|recent@bitcoin_Mining		Heatpunk Summit 2027 | Hashrate Heatpunks
1530918	AI	1	457	0	0	22.0	12309	3593	recent@tech|top@tech|recent@AI		Behind the scenes at Nvidia's Engineering SuperLab
