# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1495554	bitcoin_Mining	1	846	0	0	9.4	185956	163	recent@bitcoin_Mining|top@bitcoin_Mining	SIGNAL	AtlasPool migrating to Bitcoin Knots
1495593	tech	1	225	0	13	5.3	1278026	506	recent@tech|top@tech	SIGNAL	Why do grocery stores invest billions in self scan tech?
1495637	meta	1	115	0	0	1.9	1272724	323	recent@bitcoin|top@bitcoin|recent@meta	FRESH,SIGNAL	The Anadara Astrology Decode – Custom Shadow Map & Subliminal ✨
1495589	meta	1	108	0	0	5.8	36151	1486	recent@meta|top@meta	SIGNAL	This Day on SN: May 24
1495187	news	2	3109	0	13	27.3	74100	10004	recent@bitcoin	HOT,SELF_POST_OPP	F2Pool founder who controls 11% of hashrate to lead first SpaceX mission to Mars
1495418	meta	1	2129	0	6	17.7	92827	2664	recent@meta|top@meta	HOT	STACKER NEWS ZINE IS HERE --- let's go #58!!
1495204	bitcoin	1	1713	0	0	26.8	1495204	3	recent@bitcoin|recent@bitcoin_Mining	HOT	Bitaxe Gamma 601 review: small open-source Bitcoin miner
1495185	bitcoin	1	1703	0	16	27.4	416073	496	recent@bitcoin|recent@bitcoin_beginners	HOT	Why nobody talks about the guy who received 10,000 Bitcoin for two pizzas?
1495402	tech	1	968	0	4	18.8	934367	894	recent@tech|top@tech		Texas sues Meta, WhatsApp over encryption privacy claims
1495400	meta	1	880	0	4	18.9	1	26442	recent@meta|top@meta		SN Saturday Newsletter 5/23/26
1495322	nostr	1	819	0	1	22.0	249216	271	recent@lightning|top@lightning|recent@nostr		⚡ bark-nwc - A Rust daemon that bridges a Bark (Ark / L2 Bitcoin) wallet to NWC
1495165	bitcoin	1	717	0	6	28.1	74100	10004	recent@bitcoin		📣 AMA ANNOUNCEMENT: Mike Schmidt, co-founder and executive director at Brink
1495197	AI	1	633	0	2	26.9	88718	43712	recent@AI		The Economics of Value
1495156	bitcoin	1	476	0	0	28.9	1490661	17	recent@bitcoin		Help us power well ! 58k /300,000 sats raised for solar water pump
1495522	tech	1	423	0	5	12.1	223678	5635	recent@tech|top@tech		Memdeklaro - Open source self-sovereign identity
1495413	bitcoin_beginners	1	261	0	3	18.2	1495204	3	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning		Real sats make the welcome feel special ✨
1495202	gaming	3	259	0	5	26.8	2795	1256	recent@bitcoin|recent@bitcoin_beginners|recent@lightning	SELF_POST_OPP	Can you get on the Leaderboard? 1000 points = 100 sats
1495177	tech	1	191	0	0	27.7	12309	3483	recent@privacy|recent@tech		Yearslong fight over users' right to tweak smart TV software heads to trial
1495150	meta	1	108	0	0	29.8	36151	1486	recent@meta		This Day on SN: May 23
1495591	AI	1	80	0	3	5.6	140698	1058	recent@devs|top@devs|recent@AI		How AI Is Redefining Software Engineering
1495586	AI	1	69	0	1	6.3	140698	1058	recent@AI|top@AI		Language models are weird for the same reason human cultures are weird
1495303	AI	1	67	0	0	22.8	296825	4439	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning		A collection of Claude Code skills for Lightning Network development.
1495194	bitcoin_beginners	1	57	0	0	27.0	296825	4439	recent@bitcoin_beginners		Bitcoin Pizza Day 2024: Celebrating the First Commercial Bitcoin Transaction
1495678	bitcoin_beginners	1	36	0	1	0.8	1462312	76	recent@bitcoin_beginners|top@bitcoin_beginners	FRESH	Angel cycle doctrine
1495612	bitcoin_beginners	1	36	0	0	3.7	296825	4439	recent@bitcoin_beginners|top@bitcoin_beginners		The Unchanged Truth at the Bottom of the Hype Cycle
1495673	bitcoin_beginners	1	36	0	0	1.0	296825	4439	recent@bitcoin_beginners|top@bitcoin_beginners	FRESH	Blockchains don’t scale. Only reason you think otherwise is you have no users
1495222	bitcoin	1	36	0	0	26.2	1462312	76	recent@bitcoin_beginners		In the Middle of Writing a Cycle Guide; Watching This Weekend Closely
1495209	bitcoin_beginners	1	36	0	0	26.7	296825	4439	recent@bitcoin_beginners		Smart Contract Giving, powered by bc1q21 | Send Bitcoin to the Future
1495520	Design	2	0	0	0	12.3	1248037	1777	recent@bitdevs|top@bitdevs|recent@devs		Racket := (Lisp) 6 Classes and Objects
1495422	Design	2	0	0	0	17.5	1248037	1777	recent@bitdevs|top@bitdevs|recent@devs		The Model Notary Act
1495601	lightning	1	0	0	1	4.4	263526	343	recent@lightning|top@lightning		Lightning P2P trades now available on the Hodl Hodl
1495178	AI	1	0	0	0	27.6	182100	814	recent@AI		there should be a word
