# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1553151	AGORA	3	1796	0	19	5.2	147412	1429	recent@econ|top@econ	HOT,SIGNAL,SELF_POST_OPP	The Transition to a Post-Capitalist Economy
1553139	nostr	1	301	0	0	6.0	163128	3774	recent@nostr|top@nostr	SIGNAL	Postr: compose a kind-1 note and send it to your relays
1553168	AI	1	282	0	4	4.0	30993	3691	recent@devs|top@devs|recent@AI	SIGNAL	Claude is your insider threat now - Dan Tentler - Security Fest 2026
1553088	bitcoin_beginners	1	235	0	0	9.0	296825	5184	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning	SIGNAL	Bisq Release v1.10.6 ·
1553251	bitcoin	1	168	0	0	1.0	366634	122	recent@bitcoin|top@bitcoin|recent@mempool	FRESH,SIGNAL	mempool.bitmixlist.org - A mempool.space mirror
1553064	science	2	163	0	9	10.5	104755	12804	recent@science|top@science	SIGNAL	Properties of Cardboard
1553233	bitdevs	1	100	0	1	1.5	74100	12121	recent@bitdevs|top@bitdevs	FRESH,SIGNAL	Mailstr - KYC Free emails bridged to your nostr keys - Bitshala
1553246	AGORA	3	100	0	0	1.1	263526	593	recent@lightning|top@lightning	FRESH,SIGNAL	be-BOP now supports CLINK for Nostr-native Lightning payments
1552506	bitcoin	1	10446	0	26	35.1	88718	46731	recent@bitcoin|recent@econ	HOT	Speculating about bitcoin-standard wages
1552780	meta	1	7483	0	55	22.3	74100	12121	recent@bitcoin|top@bitcoin|recent@meta	HOT	NOBODY likes the idea of pay to post (outside SN)
1552754	security	1	5548	0	5	23.1	12309	3629	recent@security|top@security|recent@privacy	HOT	Motorola's GrapheneOS phones will launch in 2027 priced higher than Pixels
1552868	AskSN	2	2777	0	8	19.7	879734	8749	recent@AskSN|top@AskSN	HOT,SELF_POST_OPP	Do you think you have attained freedom from predatory violence?
1552495	privacy	1	2527	0	7	35.4	227606	2527	recent@privacy	HOT	Some heroes do wear capes…
1552855	BooksAndArticles	2	2301	0	3	20.6	724606	12252	recent@econ|top@econ|recent@BooksAndArticles	HOT	Adam Smith and the Political Economy Quackery of our Times (WSJ, James Grant)
1552628	bitcoin	1	2267	0	2	27.3	74100	12121	recent@bitcoin|recent@lightning	HOT	Enabling Threshold Custody on Lightning Network with Nested Threshold Multisig
1552951	AskSN	2	1909	0	3	15.3	88718	46731	recent@bitcoin_Mining|top@bitcoin_Mining|recent@AskSN	HOT	Avalon Nano 3s "non-supported adapter"
1552645	bitdevs	1	1284	0	5	26.5	238412	237	recent@bitdevs|recent@devs|recent@ideasfromtheedge	HOT	Grug Speak, Grug Outside, Grug Happy | dergigi.com
1552608	nostr	1	1272	0	1	28.7	249216	279	recent@nostr	HOT	🎹 Napstr - own your music again
1552847	bitcoin	1	1229	0	4	20.7	163128	3774	recent@bitcoin|top@bitcoin|recent@lightning	HOT	A Second and Final Eulogy for Bitcoin Maximalism
1552647	bitcoin	1	1214	0	9	26.4	74100	12121	recent@bitcoin|recent@Stacker_Stocks	HOT	Noones App shuts down
1552738	Design	2	1136	0	2	23.7	163128	3774	recent@bitcoin|top@bitcoin|recent@Design	HOT	Consensus.Health site to gauge Bitcoin consensus based on Twitter (X) reputation
1552730	Politics_And_Law	3	764	0	0	23.9	88718	46731	recent@history|top@history		Why the French Revolution Was Not a Libertarian Revolution
1552686	bitcoin_Mining	1	668	0	12	25.3	273359	933	recent@bitcoin_Mining|recent@mempool		Mining Pool Health Report [Week 5]
1552583	Construction_and_Engineering	2	592	0	1	31.8	1022234	579	recent@Construction_and_Engineering		PoW 8/21/26
1552918	news	2	547	0	0	16.9	296825	5184	recent@news|top@news		BREAKING: SWITZERLAND BANS MAMMOGRAPHY – THE MEDICAL FRAUD UNVEILED
1552517	AskSN	2	462	0	2	34.9	104755	12804	recent@AskSN		Tell me about an exhilarating experience you had
1552654	AskSN	2	395	0	6	26.1	104755	12804	recent@AskSN	SELF_POST_OPP	When did you last marry your personal and professional lives?
1552905	bitcoin	1	371	0	0	18.2	296825	5184	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners		New Release: ZEUS v13.2.0
1552751	Stacker_Stocks	2	359	0	0	23.3	9274	26599	recent@Stacker_Stocks|top@Stacker_Stocks		Financial Education (YouTuber Jeremy) vs. Bitcoin Update #21 (21/240)
1552530	Politics_And_Law	3	356	0	1	34.3	88718	46731	recent@econ		MMT: A Political Movement without Serious Defenders
1552884	Music	3	314	0	1	19.1	328182	3870	recent@history|top@history		Three decades later, America is calling for justice for Tupac’s murder.
1552875	AskSN	2	307	0	1	19.4	1301409	43	recent@AskSN|top@AskSN		NPO Funding
1552593	econ	2	297	0	2	29.6	12309	3629	recent@econ		The Trump economy: $40tn debt, 6.7% mortgages and $5 diesel
1552895	meta	1	276	0	3	18.6	1	27190	recent@meta|top@meta		SN Saturday Newsletter 8/22/26
1552929	AI	1	273	0	1	16.5	296825	5184	recent@AI|top@AI|recent@AskSN		Ox Alpha - A mysterious Free AI Model for Coding & Agentic Work
1552643	BooksAndArticles	2	252	0	3	26.5	30782	25531	recent@BooksAndArticles		Top Posts of The Week For This Territory
1553002	Stacker_Sports	3	241	0	7	13.1	984933	2112	recent@history|top@history	SELF_POST_OPP	Ladies watching the races, c. 1910
1552914	nostr	1	236	0	0	17.3	1552013	22	recent@nostr|top@nostr		Nostr NIP-15 store with auto sats checkout
1552973	Stacker_Stocks	2	190	0	5	14.4	9274	26599	recent@Stacker_Stocks|top@Stacker_Stocks		MSTY Payout #51: Coming in on top with the report.
1552828	AI	1	187	0	1	21.2	458256	4874	recent@AI|top@AI|recent@econ		The Biggest Risks to the U.S. Economy in 2026
1552906	Education	2	181	0	5	18.1	88718	46731	recent@Education|top@Education		Jason Arday and the DEI System that Just Won't Die
1552562	lightning	1	173	0	1	33.0	1552562	6	recent@lightning		Cuba's cash collapse: how Lightning and stablecoins became survival tools
