# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1490959	lol	2	1197	0	6	10.8	48657	13779	recent@econ|top@econ|recent@Construction_and_Engineering	HOT,SIGNAL,SELF_POST_OPP	fun with NIMBYism
1491033	bitcoin	1	1086	0	1	7.5	934367	891	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Bisq Release v1.10.0
1491030	Politics_And_Law	3	1015	0	3	7.6	136580	13122	recent@Politics_And_Law|top@Politics_And_Law	HOT,SIGNAL	Weak Opponents Create Weak Arguments
1490954	BooksAndArticles	2	585	0	0	11.0	487489	185	recent@ideasfromtheedge|top@ideasfromtheedge|recent@BooksAndArticles	SIGNAL	random things i think about.
1490944	Stacker_Sports	3	480	0	17	11.4	88718	43488	recent@Stacker_Sports|top@Stacker_Sports	SIGNAL,SELF_POST_OPP	Sportsball Discussion Thread
1490978	podcasts	2	442	0	2	9.6	88718	43488	recent@podcasts|top@podcasts|recent@Stacker_Sports	SIGNAL	Stacker Sports Pod Preshow Notes: Episode 83
1491032	bitcoin	1	433	0	1	7.5	74100	9894	recent@bitcoin|top@bitcoin	SIGNAL	Trezor may be getting miniscript support?
1491022	devs	1	351	0	2	7.7	136580	13122	recent@devs|top@devs	SIGNAL	AI isn't ending software engineering jobs but is it a real threat to devops?
1490995	Stacker_Sports	3	266	0	2	8.8	30782	24729	recent@Stacker_Sports|top@Stacker_Sports	SIGNAL	NHL's Oldest Footage
1491045	bitcoin_beginners	1	261	0	2	6.7	296825	4357	recent@bitcoin_beginners|top@bitcoin_beginners	SIGNAL	Bit2Kwacha - Instant Bitcoin & Kwacha Exchange
1491054	Stacker_Sports	3	250	0	0	6.3	54354	6369	recent@Stacker_Sports|top@Stacker_Sports	SIGNAL	Gold Coast V Port Adelaide Highlights |Round 10, 26| AFL
1490996	econ	2	246	0	3	8.7	88718	43488	recent@econ|top@econ	SIGNAL	The Job Market Has Only Gotten Worse Since Trump’s “Liberation Day”
1491044	Construction_and_Engineering	2	225	0	1	6.8	1022234	479	recent@Construction_and_Engineering|top@Construction_and_Engineering	SIGNAL	PoW 5/15/26
1491062	the_stacker_muse	3	223	0	4	5.7	698001	9098	recent@the_stacker_muse|top@the_stacker_muse	SIGNAL	Today I was at a party watching a zoomer in the wild actually scrol thru “reels”
1490977	Photography	3	125	0	0	9.6	1250874	295	recent@Photography|top@Photography	SIGNAL	Photographing strangers with their pets
1491072	lightning	1	123	0	0	5.1	263526	337	recent@lightning|top@lightning	SIGNAL	LQWD Tech Increases Bitcoin Treasury And Expands Network Capital On Lightning
1491001	Politics_And_Law	3	114	0	7	8.6	88718	43488	recent@econ|top@econ|recent@Politics_And_Law	SIGNAL	Socialists Are Reaping a Bountiful Political Harvest while They Create Havoc
1490975	Animal_World	3	112	0	0	9.6	30782	24729	recent@Animal_World|top@Animal_World	SIGNAL	A Beaver Eating Cabbage
1490554	bitcoin	1	4947	0	3	25.1	24585	347	recent@bitcoin|recent@lightning	HOT	Latest Strikes S03E19 - May 4th-10th 2026
1490848	Design	2	2894	0	3	16.3	147412	1407	recent@Design|top@Design|recent@AGORA	HOT	HOSTIS · Enemies of All Mankind
1490621	Politics_And_Law	3	2517	0	5	22.9	724606	10280	recent@econ|top@econ|recent@Politics_And_Law	HOT,SELF_POST_OPP	Britain’s Debt Cage (FT, Smith-Fleming-Parker)
1490834	science	2	1967	0	21	16.8	724606	10280	recent@science|top@science|recent@econ	HOT	Negative Prices and Unprofitable Generation: Peak Solar is Here (Bloomberg)
1490897	meta	1	1955	0	5	14.1	92827	2635	recent@meta|top@meta	HOT	Back to the future with SNZ Issue #57
1490909	Stacker_Stocks	2	1789	0	8	13.1	724606	10280	recent@econ|top@econ|recent@Stacker_Stocks	HOT,SELF_POST_OPP	The Most Bizarre Takeover in Years: GameStop and eBay Drama (Matt Levine)
1490445	AskSN	2	1709	0	19	33.8	1242375	82	recent@AskSN	HOT,SELF_POST_OPP	Do you need to be broken to be great?
1490456	bitcoin	1	1347	0	6	33.4	6263	10478	recent@bitcoin	HOT	Rusty Russell: I'm leaving Blockstream to try to start up CenturyMetadata.org
1490809	bitcoin	1	1178	0	4	17.4	74100	9894	recent@bitcoin|top@bitcoin|recent@bitdevs	HOT	Austin interim Bitdevs list
1490706	the_stacker_muse	3	1138	0	1	20.2	435224	1507	recent@the_stacker_muse|top@the_stacker_muse	HOT	Meaningless rituals or lasting love?
1490578	bitcoin	1	1035	0	0	24.1	1014665	145	recent@bitcoin	HOT	CVE-2024-52911, UTXO set P2P sharing - Bitcoin Optech Newsletter #405
1490873	art	3	989	0	8	15.4	4929	1245	recent@art|top@art|recent@relationships	SELF_POST_OPP	Feeling Misunderstood
1490794	events	3	971	0	3	17.8	2795	1241	recent@bitcoin|top@bitcoin|recent@events		CAMP NAKAMOTO IS 1 MONTH AWAY!
1490854	BooksAndArticles	2	906	0	3	16.1	296825	4357	recent@BooksAndArticles|top@BooksAndArticles|recent@Politics_And_Law		[Book Review] "Suicidal Empathy: Dying To Be Kind" by Gad Saad
