# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1494533	bitcoin	1	688	0	4	8.3	48657	13875	recent@bitcoin|top@bitcoin	SIGNAL	Iran Moved Billions Through Binance to Fund Regime—Continuing Into This Month
1494512	bitcoin_Mining	1	549	0	4	9.5	30782	24769	recent@bitcoin_Mining|top@bitcoin_Mining	SIGNAL	Ocean hit 8 blocks yesterday
1494587	tech	1	516	0	4	3.5	468220	105	recent@tech|top@tech	SIGNAL	Morse Code Cheat Sheet
1494520	bitcoin_beginners	1	456	0	0	8.9	296825	4423	recent@bitcoin_beginners|top@bitcoin_beginners	SIGNAL	Bitcoin Circular Economies in African
1494585	nostr	1	416	0	10	3.7	1278026	498	recent@lightning|top@lightning|recent@nostr	SIGNAL	Bro app
1494627	AI	1	126	0	1	0.8	9274	22691	recent@AI|top@AI	FRESH,SIGNAL	🥁 Nvidia beats again - Snacks
1494267	science	2	3296	0	16	18.1	48657	13875	recent@bitcoin|top@bitcoin	HOT,SELF_POST_OPP	Why I don't think there will be a secret quantum attack on bitcoin
1494021	bitcoin_beginners	1	2944	0	14	30.4	91133	70	recent@bitcoin_beginners	HOT	get on bitcoin // super normie friendly site
1494193	bitcoin	1	2489	0	6	20.0	12393	442	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	HOT	Bitcoin Doesn't Work Like a Bank Account
1494061	lightning	1	2144	0	12	27.7	1494058	6	recent@lightning	HOT	Faraday: A pastebin that cages your paste. Pay 210sats and it reopens for all
1494229	bitcoin	1	1682	0	5	19.2	74100	9987	recent@bitcoin|top@bitcoin	HOT	Do you want to be a BIP editor?
1494022	bitcoin	1	1658	0	17	30.4	74100	9987	recent@bitcoin|recent@nostr	HOT	Careful, Icarus - Why "on-chain zaps" are a terrible idea | dergigi.com
1494405	bitcoin	1	1608	0	6	14.1	280679	21530	recent@bitcoin|top@bitcoin	HOT	SpaceX IPO Filing Reveals 18,712 BTC on Balance Sheet
1494401	AI	1	1511	0	1	14.2	724606	10346	recent@AI|top@AI	HOT	Withering Fertility Heights: A Falling Population (The Economist, Mr. Masaaki)
1494019	nostr	1	1481	0	5	30.6	74100	9987	recent@nostr	HOT	The Nostr Richlist
1494200	bitcoin	1	1437	0	0	19.8	280679	21530	recent@bitcoin|top@bitcoin	HOT	Quantum Attack Game Theory
1494206	bitcoin	1	1388	0	1	19.8	296825	4423	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	HOT	Sparrow v2.5.0 released with:  Silent Payments (SP) wallets
1494159	bitcoin	1	1333	0	29	21.4	182100	813	recent@bitcoin|top@bitcoin	HOT	Quantum computing and bitcoin - making my call right here and now
1494152	lightning	1	1012	0	0	22.0	440729	120	recent@lightning|top@lightning	HOT	⚡️ Storm Report: Best posts about the Lightning Network on SN - issue: 950369
1494423	bitcoin	1	956	0	3	13.5	356670	341	recent@bitcoin|top@bitcoin		Is Lightning Dead? Public Debate
1494067	bitcoin	1	878	0	2	27.4	934367	893	recent@bitcoin|recent@lightning		On Lightning Network Privacy
1494437	tech	1	824	0	5	13.0	68842	587	recent@tech|top@tech		Linux Mint: First new distro I've tried in a decade (at least)
1494186	bitcoin	1	627	0	2	20.4	74100	9987	recent@bitcoin|top@bitcoin|recent@bitcoin_Mining		Inertial Mining: Equilibrium Implementation of the Bitcoin Protocol
1494386	AI	1	559	0	6	14.6	12309	3480	recent@AI|top@AI		How I Choose Which Cloudflare Employees to Replace With AI
1494343	bitcoin	1	433	0	1	16.4	74100	9987	recent@bitcoin|top@bitcoin		The predictable failure of the QDay Prize - Craig Gidney, Algorithmic Assertions
1494253	bitcoin	1	414	0	1	18.6	74100	9987	recent@bitcoin|top@bitcoin		Who Wrote Bitcoin? Two Investigations, Two Methods, A Disagreement
1494181	lightning	1	366	0	1	20.6	280679	21530	recent@lightning|top@lightning		ZeusLN/zeus · Release v13.0.2 ⚡
1494331	AI	1	351	0	0	17.0	12309	3480	recent@tech|top@tech|recent@AI		China's new homegrown gaming GPU flops in performance and price
1494160	bitcoin	1	348	0	0	21.4	1490792	74	recent@bitcoin|top@bitcoin		Releases · sparrowwallet/sparrow 2.5
1494298	security	1	267	0	4	17.5	561154	540	recent@security|top@security		Proof of site contents at specific time
1494092	meta	1	228	0	0	24.6	36151	1484	recent@meta		This Day on SN: May 21
1494269	AI	1	156	0	5	18.1	296825	4423	recent@AI|top@AI		AI-powered robot barber kiosks scan in 3D and cut hair with millimeter precision
1494416	openagents	1	91	0	3	13.8	144357	4209	recent@openagents|top@openagents		After Party at OpenAgents HQ
1494307	Music	3	77	0	0	17.5	296825	4423	recent@bitcoin_beginners|top@bitcoin_beginners		V4V Music — When Passion Outgrows the System: A Life Shaped by Sound
1494116	lightning	1	21	0	2	23.5	1490792	74	recent@lightning|top@lightning		On Lightning Network Privacy
1494146	bitcoin	1	20	0	1	22.4	1444593	36	recent@bitcoin|top@bitcoin		🔥 Te hablo desde un futuro posible. 📈 DCA + bitcoin
1494586	lightning	1	0	0	1	3.5	263526	342	recent@lightning|top@lightning		📆⚡🎙️ Lightning Network Roundtable w/ LQWD - Thu 28 May  at 7:00 pm
1494421	security	1	0	0	0	13.6	297791	7532	recent@security|top@security		Microsoft Warns of Two Actively Exploited Defender Vulnerabilities
1494583	art	3	0	0	0	4.0	1248037	1772	recent@AI|top@AI		“AI” model has disproved a central conjecture in discrete geometry | Hacker News
1494242	art	3	0	0	4	18.8	503703	3566	recent@AI|top@AI		AI-art: can u feel it?
