# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1518054	AI	1	377	0	1	15.8	74100	10961	recent@bitcoin|top@bitcoin|recent@AI		Is everybody pivoting to AI?
1517687	AI	1	373	0	0	27.3	280679	22322	recent@AI		Claude Helped a Hacker Find a Way to Issue Tickets to Almost Every US Music Fest
1517621	AI	1	367	0	4	31.6	1	26770	recent@AI		Redeploying Claude Fable 5
1518017	food_and_drinks	3	356	0	0	17.1	280679	22322	recent@econ|top@econ|recent@charts_and_maps		How does food get traded around the world?
1517833	gaming	3	341	0	1	22.1	12309	3564	recent@tech|top@tech		Sony is killing discs — and showing us why it’s a terrible idea
1517793	history	2	340	0	2	23.9	1512518	34	recent@history|top@history		Daily Bitcoin Lore (11 years ago): DEA Agent Steals $700K
1517895	science	2	336	0	3	19.8	88718	44922	recent@science|top@science		World Cup Gets Grass While the NFL Plays on Plastic - Doctor Reveals the Truth
1517699	podcasts	2	317	0	2	26.6	9274	24212	recent@history|recent@podcasts		Everything Everywhere Daily:  Bobby Bonilla Day •
1517886	AI	1	295	0	0	20.1	1293586	1986	recent@AI|top@AI|recent@econ		Companies rehire workers laid off for AI as automation falls short
1517658	meta	1	293	0	0	28.4	36151	1537	recent@meta		This Day on SN: July 1
1517630	lightning	1	290	0	0	30.6	70864	347	recent@lightning		Release 5.0.1: Valet with flavors - Regtest, Testnet3, Testnet4
1517688	Stacker_Stocks	2	289	0	3	27.0	280679	22322	recent@Stacker_Stocks		IREN Added to Russell 1000 Index
1518087	tech	1	281	0	0	15.1	161788	10042	recent@tech|top@tech		ZCode – Harness for GLM-5.2
1517919	tech	1	275	0	2	19.1	144357	4307	recent@tech|top@tech		Meet Fio: the Catholic alternative to Spotify
1518025	bitcoin	1	261	0	0	16.8	74100	10961	recent@bitcoin|top@bitcoin|recent@lightning		cerberus: Bark BTC-Ark Swap Protocol - stutxo
1517926	gaming	3	257	0	0	18.8	13531	1659	recent@tech|top@tech		Xbox testing disc-to-digital feature that digitizes a physical game collection
1517708	econ	2	253	0	2	25.8	280679	22322	recent@econ		Roundup #84: Bears on bikes
1518064	lol	2	250	0	1	15.6	280679	22322	recent@lol|top@lol		Senegalese player blocks a penalty kick right at the end of extra time!
1518119	nostr	1	216	0	0	12.1	144357	4307	recent@nostr|top@nostr		Sidecar | A Classy Nostr Signer - Chrome Web Store
1518090	news	2	211	0	0	14.7	297791	7603	recent@news|top@news		Apple’s entry-level MacBook Pro could be up for a redesign
1518097	Stacker_Stocks	2	195	0	1	14.2	9274	24212	recent@Stacker_Stocks|top@Stacker_Stocks		Saylorboi Livingston is back with MSTR LEAPS $345 Strike @ 12/8/15 expiry.
1517852	lol	2	151	0	1	21.5	280679	22322	recent@lol|top@lol		The weirdest song I ever made
1517922	Construction_and_Engineering	2	149	0	3	19.0	280679	22322	recent@Construction_and_Engineering|top@Construction_and_Engineering		Canada is (Finally) Building a Supertall Skyscraper | The B1M
1517828	AI	1	105	0	0	22.4	88718	44922	recent@AI|top@AI		Why Bernie Sanders’s AI Bill Is Fascistic and Dangerous
1517771	Politics_And_Law	3	105	0	0	24.3	88718	44922	recent@econ		Hantavirus: Market versus Government Disease Control
1518289	Politics_And_Law	3	96	0	2	0.6	74100	10961	recent@econ|top@econ|recent@Stacker_Stocks	FRESH	The Secret History of Polymarket: Part 1 - Whitney Webb and Mark Goodwin
1518156	Construction_and_Engineering	2	85	0	0	8.7	1022234	532	recent@Construction_and_Engineering|top@Construction_and_Engineering		PoW 7/1/26
1518256	econ	2	62	0	0	1.5	402772	22140	recent@econ|top@econ	FRESH	U.S. added 57,000 jobs in June, less than expected; unemployment rate at 4.2%
1517606	bitcoin	1	57	0	0	34.3	1517606	3	recent@bitcoin_beginners|recent@Education		Building a non-nonsense "pass-along" Bitcoin brochure. What am I missing?
1517907	BooksAndArticles	2	57	0	0	19.4	1264102	41	recent@BooksAndArticles|top@BooksAndArticles		50 Reasons Paper Books are Better than E-Books
1518158	Politics_And_Law	3	47	0	1	8.5	642641	7877	recent@econ|top@econ|recent@history		The Collapse of US Diplomatic Integrity- Trumps Corruption of US Foreign Policy.
1517974	bitcoin_beginners	1	36	0	0	17.8	296825	4747	recent@bitcoin_beginners|top@bitcoin_beginners		The Politics of Post-Quantum Bitcoin
1517632	bitcoin_beginners	1	36	0	0	30.4	1473003	32	recent@bitcoin_beginners		An analysis of the Funding Rate in cryptocurrency perpetual futures
1518180	bitcoin	1	36	0	0	6.1	1401899	197	recent@history|top@history		Episode #3 — The Man Who Spent 10,000 Bitcoin to Save a Dog
1517689	Stacker_Stocks	2	33	0	16	26.9	9274	24212	recent@Stacker_Stocks		Daily Stock Discussion ~Stacker_Stocks
1518150	bitcoin	1	24	0	2	9.1	1401899	197	recent@history|top@history		Bitcoin Stories #2 — The Night the Network Refused to Die
1518208	Stacker_Stocks	2	22	0	1	4.5	9274	24212	recent@Stacker_Stocks|top@Stacker_Stocks		Daily Stock Discussion ~Stacker_Stocks
1518300	bitcoin	1	21	0	1	0.3	699824	155	recent@lightning|top@lightning	FRESH	Breez's Class of Q2 2026 👀⚡️ - 13 more apps featured!
1517622	AI	1	21	0	0	31.4	934367	919	recent@AI		Introducing Claude Sonnet 5 \ Anthropic
1517643	bitcoin_beginners	1	19	0	1	29.4	296825	4747	recent@bitcoin_beginners		Why Keonne Rodriguez Is in Prison for Building Samourai Wallet
1517615	bitcoin	1	11	0	1	33.3	1401899	197	recent@bitcoin_Mining		Bitcoin Stories — How Iran Became an Accidental Mining Powerhouse
1518249	news	2	10	0	0	1.9	297791	7603	recent@news|top@news	FRESH	Google loses fight over record $4.7 billion EU antitrust fine
1518246	lightning	1	0	0	5	1.9	263526	446	recent@lightning|top@lightning	FRESH	@TheBlueMatt 🟠 Lightning payment 99% success rates is remotely acceptable
1518270	lightning	1	0	0	0	1.2	440729	180	recent@lightning|top@lightning	FRESH	Biggest Channel Opened Today (6.0 BTC) + New Node Spotlight (03b1561ba1ef7f4de…)
1518159	Politics_And_Law	3	0	0	0	8.4	1054143	966	recent@econ|top@econ|recent@history		World Bank approves $1.25bn Nigeria loan despite backlash
1518307	Stacker_Stocks	2	0	0	1	0.1	280679	22322	recent@Stacker_Stocks|top@Stacker_Stocks	FRESH	After $18B IPO, Bending Spoons founder says success comes from minimizing luck
1518153	Stacker_Stocks	2	0	0	0	8.9	1054143	966	recent@Stacker_Stocks|top@Stacker_Stocks		NGX investors lose N2.39tn as profit-taking triggers stock market sell-off
1518225	charts_and_maps	2	0	0	0	3.6	280679	22322	recent@charts_and_maps|top@charts_and_maps		Which Continents Have the Most Drug Users?
1518207	news	2	0	0	0	4.5	126503	781	recent@news|top@news		Google loses fight against record €4.1 billion EU antitrust fine
