# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1508007	bitcoin	1	2781	0	34	10.7	88718	44478	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Has anyone paid with bitcoin yet?
1508159	bitcoin	1	581	0	5	5.1	57444	15601	recent@bitcoin|top@bitcoin	SIGNAL	Strike: Self-payments are not allowed
1507986	nostr	1	575	0	4	11.5	331326	3	recent@nostr|top@nostr	SIGNAL	zapclub.io — Decentralized social music streaming
1508102	meta	1	409	0	2	8.6	1	26633	recent@meta|top@meta	SIGNAL	SN Saturday Newsletter 6/13/26
1508186	meta	1	379	0	2	3.2	1507914	6	recent@meta|top@meta	SIGNAL	Wen Bolt12 (and bip353) payouts?
1508192	bitcoin	1	347	0	0	2.8	178	905	recent@bitcoin|top@bitcoin	SIGNAL	Sunday Survey: When did you first sell your Bitcoin?
1508047	AI	1	102	0	2	9.9	1508030	3	recent@bitdevs|top@bitdevs|recent@lightning	SIGNAL	I built two live Lightning offers for AI agents: Unlock files, run compute
1507919	bitcoin	1	3179	0	8	15.0	1507914	6	recent@bitcoin|top@bitcoin	HOT	MuSig2 between Core, ColdCard and Ledger (vibe code trigger warning)
1507884	bitcoin	1	2221	0	3	16.3	24585	352	recent@bitcoin|top@bitcoin|recent@lightning	HOT	Latest Strikes #23 - June 1st - 7th 2026
1507952	bitcoin	1	1545	0	5	13.3	166	36474	recent@bitcoin|top@bitcoin	HOT	Blockstream Borrows Billions, Hides CIO Chris Cook's Fraud Conviction
1507579	AI	1	1423	0	29	32.4	74100	10494	recent@AI	HOT	Statement on the US government directive to suspend access to Fable5 and Mythos5
1507885	bitcoin	1	1276	0	4	16.3	74100	10494	recent@bitcoin|top@bitcoin	HOT	The Great Capital Rotation - Pierre Rochard
1507760	AI	1	1127	0	6	21.2	88718	44478	recent@AI|top@AI	HOT	Magnifica Humanitas, AI, and the State
1507759	lightning	1	893	0	1	21.2	440729	141	recent@lightning|top@lightning		Biggest Channel Opened Today (2.0 BTC) + New Node Spotlight (02b61c10149c0c89b…)
1507664	tech	1	671	0	0	27.1	166	36474	recent@tech		Bayrob – Darknet Diaries | impressive story
1507851	AI	1	662	0	2	17.7	104755	12378	recent@AI|top@AI		Created my own app
1507823	bitcoin	1	623	0	2	18.7	74100	10494	recent@bitcoin|top@bitcoin|recent@bitdevs		2 vulnerabilities in bark to steal funds (Second has published fixes) - floppy
1507617	gaming	3	315	0	0	30.3	74100	10494	recent@lightning|recent@nostr		Snake.dance — Free Multiplayer Skill Snake Game
1507711	bitcoin	1	286	0	3	24.6	46077	175	recent@bitcoin		I need some Bitcoin ETF info....
1507709	bitcoin	1	283	0	1	24.7	1490792	167	recent@bitcoin|recent@bitcoin_beginners|recent@nostr		Ulendo: Global Phone Calls via Bitcoin and Nostr. No SIM Card Required.
1507623	AI	1	279	0	0	29.7	110937	242	recent@AI		Don't worry about that, we don't care anymore
1507847	AI	1	268	0	0	18.0	9274	23505	recent@AI|top@AI		😰 Oracle’s debt AI-nxiety - Snacks
1507590	AI	1	188	0	0	32.0	328182	3723	recent@AI		ELIZA Reinterpreted:The world's 1st chatbot was not intended as a chatbot at all
1507811	bitcoin_beginners	1	148	0	0	19.3	296825	4587	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning		Cashu Mint (Nutshell) | Cashu4Community
1507922	AI	1	79	0	1	14.8	297791	7570	recent@AI|top@AI		Anthropic suspends all access to Mythos model after US govt bans foreign use
1508208	AI	1	69	0	0	0.9	296825	4587	recent@AI|top@AI	FRESH	Run multiple models side-by-side, run an analysis, and fuse into the best result
1508190	bitcoin_beginners	1	36	0	0	3.1	296825	4587	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning		Numo Release v1.7: BTCPayServer Support
1508181	bitcoin_beginners	1	36	0	0	3.4	296825	4587	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning		You can send money over any medium
1508109	bitcoin	1	36	0	0	8.0	296825	4587	recent@bitcoin_beginners|top@bitcoin_beginners		Are They Really Two Sides of the Same Coin?
1507689	bitcoin_beginners	1	36	0	1	25.3	296825	4587	recent@bitcoin_beginners|recent@lightning		Madeira, wine buying and beer with Bitcoin
1507649	news	2	36	0	0	27.9	1504003	17	recent@bitcoin_beginners|recent@bitcoin_Mining		SBF Appeal Denied — FTX Fraud Conviction Upheld | SatsTools
1507834	bitcoin_beginners	1	30	0	0	18.3	296825	4587	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning		Mostro Mobile release v1.2.8: Improved relay connection handling
1508152	math	2	0	0	0	5.3	1248037	1809	recent@bitdevs|top@bitdevs|recent@devs		ChainNet: Learning on Blockchain Graphs with Topological Features
1508183	mempool	1	0	0	0	3.3	1473003	13	recent@mempool|top@mempool		Show SN: I made "BITPUYO" - A falling block puzzle driven by the Mempool! 🧩⛏️
