# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1518188	DIY	3	10259	0	15	7.0	719829	298	recent@devs|top@devs	HOT,SIGNAL,SELF_POST_OPP	Plunda.co has a new home!
1518300	bitcoin	1	723	0	2	1.6	699824	155	recent@bitcoin|top@bitcoin|recent@lightning	FRESH,SIGNAL	Breez's Class of Q2 2026 👀⚡️ - 13 more apps featured!
1518186	AI	1	491	0	1	7.0	297791	7603	recent@AI|top@AI	SIGNAL	OpenAI proposes 5% stake to Trump administration to ease Washington pressure
1518275	bitcoin	1	462	0	0	2.3	74100	10965	recent@bitcoin|top@bitcoin	SIGNAL	How to search for OP_RETURN text
1518384	bitcoin	1	300	0	0	0.2	74100	10965	recent@bitcoin|top@bitcoin|recent@bitcoin_Mining	FRESH,SIGNAL	Merge Mining Monitor - deadmanoz
1518157	bitcoin_beginners	1	240	0	1	9.8	296825	4748	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitdevs	SIGNAL	On Bridging The Gap Between Devs And Users
1518189	lightning	1	233	0	0	6.9	163128	3633	recent@lightning|top@lightning	SIGNAL	BareBits/electrum_clink: A CLINK/noffer plugin for electrum
1518246	lightning	1	104	0	5	3.2	263526	446	recent@lightning|top@lightning	SIGNAL	@TheBlueMatt 🟠 Lightning payment 99% success rates is remotely acceptable
1517846	bitcoin	1	4700	0	2	23.0	1014665	198	recent@bitcoin|top@bitcoin	HOT	LND DoS bug, libevent removal, Q&A - Bitcoin Optech Newsletter #411 Podcast
1518130	bitcoin	1	2852	0	1	12.5	593189	831	recent@bitcoin|top@bitcoin	HOT	Money Laundering Index (Orlin Grabbe archive, 1990s cypherpunk)
1518135	bitcoin	1	2624	0	3	12.1	190751	46	recent@bitcoin|top@bitcoin	HOT	NO CONSENSUS FOR CONSENSUS CLEANUP
1517824	bitcoin	1	1639	0	6	23.9	1242375	100	recent@bitcoin|top@bitcoin	HOT	What would you put in your genesis block?
1517897	bitcoin	1	1584	0	14	21.0	74100	10965	recent@bitcoin|top@bitcoin	HOT	Bitcoin Is Not Freedom: The Delusion of Digital Escape - Mises Institute
1517976	AI	1	1539	0	2	19.0	724606	11099	recent@AI|top@AI	HOT	Let AI Generate Your World Cup Predictions (FT, Louis Ashworth)
1518020	bitcoin	1	1502	0	14	18.2	223678	5745	recent@bitcoin|top@bitcoin|recent@mempool	HOT	Nice watch-only bitcoin wallet
1517738	bitcoin	1	1346	0	10	26.3	74100	10965	recent@bitcoin	HOT	Reflections Upon Bitcoin's Block Size Debate
1518114	lightning	1	1210	0	8	13.5	223678	5745	recent@lightning|top@lightning	HOT	1 Dumb mistake = nuked my entire lightning node privacy?
1517928	bitcoin_beginners	1	1022	0	8	20.0	532976	114	recent@bitcoin_beginners|top@bitcoin_beginners	HOT	The role of cash (banknotes) in a post fiat society
1517877	bitcoin	1	742	0	3	21.8	1517877	4	recent@bitcoin|top@bitcoin		Solar ASIC – Automate Bitcoin miners with your solar surplus (Home Assistant)
1517875	bitcoin	1	713	0	1	21.9	280679	22329	recent@bitcoin|top@bitcoin		Rajarshi Maitra Found a Point of Light in the Dark Cave, Quit His Job, and ...
1517685	bitcoin_beginners	1	604	0	5	28.7	104755	12501	recent@bitcoin_beginners		Reconnected my Send capability with Blink
1517830	AI	1	594	0	4	23.5	74100	10965	recent@AI|top@AI		Toward Unrestricted Intelligence: Venice Series A - Erik Voorhees
1517735	lightning	1	574	0	4	26.5	440729	180	recent@lightning		Biggest Channel Opened Today (7.5 BTC) + New Node Spotlight (02719f6b60955e647…)
1517937	bitcoin	1	572	0	0	19.7	74100	10965	recent@bitcoin|top@bitcoin|recent@mempool		Satoshi and Hal Finney first describing a mempool in November 2008
1517717	gaming	3	553	0	3	26.8	163128	3633	recent@lightning		1-SAT RUNNER
1517854	bitcoin	1	506	0	0	22.7	74100	10965	recent@bitcoin|top@bitcoin		Trilithium: Efficient and Universally Composable Distributed ML-DSA Signing
1517704	bitcoin	1	459	0	7	27.5	238412	190	recent@bitcoin		The Hodl Era Is Over
1517805	meta	1	422	0	6	24.7	36151	1537	recent@meta		What are you working on this week?
1518054	AI	1	377	0	1	17.0	74100	10965	recent@bitcoin|top@bitcoin|recent@AI		Is everybody pivoting to AI?
1517687	AI	1	373	0	0	28.6	280679	22329	recent@AI		Claude Helped a Hacker Find a Way to Issue Tickets to Almost Every US Music Fest
1517621	AI	1	367	0	4	32.9	1	26770	recent@AI		Redeploying Claude Fable 5
1517833	gaming	3	341	0	1	23.4	12309	3564	recent@tech|top@tech		Sony is killing discs — and showing us why it’s a terrible idea
1517886	AI	1	295	0	0	21.4	1293586	1986	recent@AI|top@AI		Companies rehire workers laid off for AI as automation falls short
1517658	meta	1	293	0	0	29.7	36151	1537	recent@meta		This Day on SN: July 1
1517630	lightning	1	290	0	0	31.9	70864	347	recent@lightning		Release 5.0.1: Valet with flavors - Regtest, Testnet3, Testnet4
1518087	tech	1	281	0	0	16.4	161788	10042	recent@tech|top@tech		ZCode – Harness for GLM-5.2
1517919	tech	1	275	0	2	20.4	144357	4308	recent@tech|top@tech		Meet Fio: the Catholic alternative to Spotify
1518025	bitcoin	1	261	0	0	18.1	74100	10965	recent@bitcoin|top@bitcoin|recent@lightning		cerberus: Bark BTC-Ark Swap Protocol - stutxo
1517926	gaming	3	257	0	0	20.0	13531	1659	recent@tech|top@tech		Xbox testing disc-to-digital feature that digitizes a physical game collection
1518119	nostr	1	252	0	7	13.4	144357	4308	recent@nostr|top@nostr		Sidecar | A Classy Nostr Signer - Chrome Web Store
1517828	AI	1	105	0	0	23.7	88718	44928	recent@AI|top@AI		Why Bernie Sanders’s AI Bill Is Fascistic and Dangerous
1517622	AI	1	103	0	0	32.6	934367	919	recent@AI		Introducing Claude Sonnet 5 \ Anthropic
1518270	lightning	1	86	0	0	2.5	440729	180	recent@lightning|top@lightning		Biggest Channel Opened Today (6.0 BTC) + New Node Spotlight (03b1561ba1ef7f4de…)
1518332	AI	1	71	0	0	1.0	984933	1459	recent@AI|top@AI	FRESH	Norway vs. Brazil
1517606	bitcoin	1	57	0	0	35.6	1517606	3	recent@bitcoin_beginners		Building a non-nonsense "pass-along" Bitcoin brochure. What am I missing?
1518371	AI	1	40	0	1	0.5	238412	190	recent@AI|top@AI	FRESH	PSA From Palantir
1517974	bitcoin_beginners	1	36	0	0	19.1	296825	4748	recent@bitcoin_beginners|top@bitcoin_beginners		The Politics of Post-Quantum Bitcoin
1517632	bitcoin_beginners	1	36	0	0	31.6	1473003	32	recent@bitcoin_beginners		An analysis of the Funding Rate in cryptocurrency perpetual futures
1517643	bitcoin_beginners	1	19	0	1	30.7	296825	4748	recent@bitcoin_beginners		Why Keonne Rodriguez Is in Prison for Building Samourai Wallet
1517615	bitcoin	1	11	0	1	34.5	1401899	198	recent@bitcoin_Mining		Bitcoin Stories — How Iran Became an Accidental Mining Powerhouse
1518341	bitcoin_beginners	1	0	0	0	1.0	296825	4748	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning	FRESH	News Mint: Ever wanted to run a Cashu Mint?
