# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1557169	bitcoin	1	3369	0	2	6.8	93884	97	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Core Lightning 26.06.7 is out, and every node runner should upgrade.
1557171	AI	1	2138	0	3	6.8	1	27240	recent@nostr|top@nostr|recent@tech	HOT,SIGNAL	HuggingFace's Microduck simulator uses nostr for WebRTC signaling
1557177	bitcoin	1	1473	0	3	6.7	642641	8533	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Bitcoin 4 Gaza? Gaza forced to use unreliable online payments amid ‘cash famine’
1557089	bitcoin	1	1333	0	2	9.2	483644	77	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Seed generation 1 dice, or 1 deck or 2 decks
1557313	meta	1	1257	0	9	2.2	1556501	3	recent@meta|top@meta	HOT,SIGNAL	k00b's dilemma
1557199	lightning	1	1094	0	3	6.2	185956	176	recent@lightning|top@lightning	HOT,SIGNAL	The CLN Embargo: Would you run unverified binaries?
1557131	math	2	972	0	0	8.4	74100	12243	recent@bitcoin|top@bitcoin|recent@lightning	SIGNAL	Iceberg: Nested Threshold Signatures for Lightning - Nadav Kohen
1557124	AI	1	859	0	2	8.6	150551	195	recent@lightning|top@lightning|recent@AI	SIGNAL	CLINK CLI For Shell, Scripts, Or AI Agents
1557196	AI	1	494	0	4	6.2	144357	4488	recent@bitcoin|top@bitcoin|recent@AI	SIGNAL	Flock Has a Powerful New AI Tool, We Got Its Code | SNL #239
1557119	security	1	456	0	0	8.7	12309	3639	recent@security|top@security|recent@privacy	SIGNAL	Security researchers find surveillance implants in Chinese-made routers
1557156	bitcoin_beginners	1	449	0	1	7.5	296825	5223	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning	SIGNAL	Today in History : Satoshi Nakamoto speaks a  base metal analogy
1556971	AI	1	344	0	2	11.0	328182	3932	recent@AI|top@AI	SIGNAL	NSA wants access to ‘all’ AI models, top official says
1557134	AI	1	335	0	0	8.4	984933	2194	recent@AI|top@AI	SIGNAL	A third of new webpages written with AI
1557163	AskSN	2	160	0	1	7.2	296825	5223	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	SIGNAL	Did you know that, none of these make sense.
1556366	meta	1	4695	0	74	31.4	1	27240	recent@meta	HOT	SN release: embedded wallet, wallet onboarding on signup, toggle receive proxy
1556815	bitcoin_beginners	1	3660	0	47	14.2	900202	2690	recent@bitcoin_beginners|top@bitcoin_beginners	HOT	"Non-custodial" means nothing if it is not used as such
1556156	lightning	1	2687	0	4	35.5	163128	3794	recent@lightning	HOT	CashApp give, CashApp take
1556776	bitcoin	1	1651	0	0	15.4	1014665	231	recent@bitcoin|top@bitcoin	HOT	CLN vulns, opt-in replay protection, HWI - Bitcoin Optech Newsletter #420
1556533	news	2	1586	0	3	27.2	74100	12243	recent@bitcoin	HOT	BitGo Acquires NYDIG’s Institutional Trading Business
1556660	AI	1	1442	0	2	18.3	724606	12385	recent@AI|top@AI	HOT	"Underpriced Options" and the Demise of Loyalty Reward Schemes
1556563	bitcoin	1	1321	0	2	25.4	74100	12243	recent@bitcoin	HOT	SeedSigner fork with miniscript support, plus a SeedSigner x Liana bridge
1556276	bitcoin	1	1213	0	4	33.0	30782	25583	recent@bitcoin	HOT	In Praise of Bitcoin (2021)
1556443	AI	1	933	0	0	29.4	144357	4488	recent@AI		Why the network is emerging as the fastest control plane
1556811	bitcoin	1	902	0	1	14.3	1264102	69	recent@bitcoin|top@bitcoin		New Titles In Our Bitcoin Books Section
1556147	bitcoin	1	758	0	3	35.7	126503	799	recent@bitcoin		Sparrow wallet Release 2.5.4
1556507	bitcoin	1	679	0	2	27.9	297791	7668	recent@bitcoin		IREN's FQ4 loss unexpectedly widens amid decommissioning of BTC mining hardware
1556674	meta	1	547	0	95	17.7	273359	970	recent@meta|top@meta		Fork Stacker News, remove the integrated scam
1556346	bitcoin	1	518	0	1	31.9	7387	75	recent@bitcoin		Glass Coins protocol spec - HackMD
1556785	bitcoin_beginners	1	420	0	0	15.2	30782	25583	recent@bitcoin_beginners|top@bitcoin_beginners		Bitcoin Beginners Newsletter, Issue 114
1556645	security	1	389	0	1	19.1	297791	7668	recent@security|top@security		Chinese Routers Sold Worldwide Contain Backdoors
1556382	AI	1	365	0	0	30.9	133958	191	recent@bitcoin|recent@AI		AI × Bitcoin Is Riding Again 🤠⚡️
1556352	tech	1	298	0	0	31.8	12309	3639	recent@privacy|recent@tech		The popular ad blocker has just received its final stable Chrome release.
1556408	AI	1	278	0	0	30.2	297791	7668	recent@AI		CrowdStrike posts best day ever, Okta's stock pops nearly 29%
1556649	security	1	261	0	6	19.0	1554639	5	top@lightning|top@security		Found and Fixed Before It's Public: Core Lightning's 14-Day Disclosure Gamble
1556162	lightning	1	249	0	7	35.2	163128	3794	recent@lightning		Without Lightning, none of the Layer 2s make sense.
1556290	gaming	3	238	0	2	32.8	296825	5223	recent@bitcoin_beginners|recent@lightning		Today in history: 16 years ago, users invented a game where they give 2 bitcoins
1556622	math	2	236	0	1	21.1	263526	606	recent@bitcoin_Mining|top@bitcoin_Mining		The Art of Mining Bitcoin by D++ (bitcoin2023)
1556438	bitcoin_beginners	1	130	0	0	29.5	1556438	1	recent@bitcoin_beginners		Satsman – Learn Bitcoin, Earn Sats and Level Up Your Knowledge ⚡₿ — Blurt
1557025	bitcoin	1	77	0	0	10.2	1490792	437	recent@bitcoin_beginners|top@bitcoin_beginners		My First Bitcoin
1556504	lightning	1	43	0	6	28.0	1556502	6	recent@lightning		Fountain of Youth
1556839	bitcoin	1	36	0	0	13.6	1444593	112	recent@bitcoin|top@bitcoin		Sparrow Wallet: detecta una contraseña BIP38 incorrecta antes de continuar
1557194	bitcoin	1	36	0	0	6.3	296825	5223	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitdevs		Core Lightning Releases v26.06.7 Quantum-Resistant Lightning Channel VII
1557149	bitcoin_beginners	1	36	0	0	7.7	296825	5223	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning		MostriX v0.2.9 is out!
1556235	bitcoin	1	36	0	0	33.5	1556104	2	recent@bitcoin_beginners|recent@bitcoin_Mining		Si ganaran millones haciendo trading, no te venderían un curso de $50 USD
1556508	bitcoin	1	15	0	0	27.9	272410	1284	recent@lightning		Cashu has a status called 'Prepared' and now I know how a mail parcel feels
1557083	security	1	11	0	0	9.4	416864	938	recent@security|top@security		TryHackMe's HackerHolidays 2026 Event - Day 07 - Do Not Disturb [Writeup]
