# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1496660	bitcoin	1	1509	0	1	3.1	1014665	150	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Brink's 2025 Annual Report
1496677	bitcoin	1	1026	0	4	2.8	296825	4460	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	HOT,SIGNAL	[Cashu Update] The operator has no access to the private keys of the mint.
1496782	bitcoin	1	542	0	0	0.7	74100	10035	recent@bitcoin|top@bitcoin|recent@bitcoin_Mining	FRESH,SIGNAL	Mining Unit - Localhost Research
1496619	meta	1	531	0	23	4.1	74100	10035	recent@bitcoin|top@bitcoin|recent@lightning	SIGNAL	Onchain Zaps in Ditto: Bitcoin Tipping Without Lightning - Alex Gleason
1496502	AI	1	391	0	1	11.2	140698	1060	recent@AI|top@AI	SIGNAL	The Agent Endpoint — A Manifesto
1496802	bitcoin	1	308	0	2	0.3	74100	10035	recent@bitcoin|top@bitcoin|recent@lightning	FRESH,SIGNAL	Blitz Wallet update adds BTCMaps
1496760	bitcoin	1	306	0	0	0.9	1445755	12	recent@bitcoin|top@bitcoin|recent@nostr	FRESH,SIGNAL	P2P sats v1.0.0 — alerts are live
1496768	AI	1	306	0	0	0.9	21800	486	recent@AI|top@AI	FRESH,SIGNAL	We added bitcoin payments to OpenClaw — which agent should be next?
1496690	bitcoin	1	261	0	3	2.7	280679	21596	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	SIGNAL	Silent Payments: A nice Bitcoin privacy setup
1496554	AI	1	239	0	2	7.0	280679	21596	recent@AI|top@AI	SIGNAL	AI Is Taking Over the Most Cursed Job in the World
1496735	bitcoin	1	159	0	5	1.5	296825	4460	recent@bitcoin_beginners|top@bitcoin_beginners	FRESH,SIGNAL	Someone just donated 107 BTC to the Bitcoin community via Bitcoin burn address.
1496577	AI	1	123	0	0	6.1	1490792	96	recent@AI|top@AI	SIGNAL	heretic: Fully automatic censorship removal for language models
1496167	privacy	1	13673	0	23	27.1	879734	7140	recent@privacy	HOT	A crude demo: impact of disclosing your state and birthdate
1496281	bitcoin	1	2283	0	5	23.9	6274	2233	recent@bitcoin|top@bitcoin	HOT	Cash App: Sorry, your withdrawal could not be processed [LN payment issue]
1496234	security	1	2032	0	11	25.1	48657	13929	recent@security	HOT	k-anonymity and data security at top credit reporting bureaus
