# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1487791	nostr	1	432	0	2	11.8	145132	542	recent@nostr|top@nostr	SIGNAL	Since Nostree.me is down...Is there any similar alternative you know?
1487702	bitcoin	1	2280	0	18	15.0	1278026	454	recent@bitcoin|top@bitcoin	HOT	The paradox of maturity for Bitcoin
1487699	bitcoin	1	1155	0	6	15.1	14476	270	recent@bitcoin|top@bitcoin	HOT	2nd Bitcoin tweet.  11 days after Hal.
1487422	DIY	3	961	0	17	27.1	30993	3412	recent@bitcoin_Mining	SELF_POST_OPP	I Built a 40 TH/s Bitcoin Miner for Under $500 (Poor Man’s Avalon Q)
1487722	lightning	1	900	0	4	14.5	263526	333	recent@lightning|top@lightning		Has anyone here used Bitcoin/Lightning payments at a real store through Square?
1487644	bitcoin	1	835	0	24	17.3	178	896	recent@bitcoin|top@bitcoin|recent@lightning		Sunday Survey: What's the biggest problem in Lightning right now?
1487758	bitcoin	1	623	0	6	13.4	416073	475	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners		What’s the best advice another Bitcoiner gave you?
1487604	bitcoin	1	596	0	0	18.4	996769	28	recent@bitcoin|top@bitcoin|recent@bitdevs		🎙️ She's Fighting to Free Her Husband - Lauren Rodriguez | Ep. 136
1487568	tech	1	447	0	1	19.8	12309	3456	recent@tech|top@tech		High-capacity HDD roadmap: the race to 100TB and zettabyte-scale storage
1487447	tech	1	339	0	5	25.3	296825	4294	recent@tech		Google now treats privacy as suspicious behavior by default. DeGoogled lock out
1487479	nostr	1	305	0	1	23.8	249216	268	recent@nostr|top@nostr		🔥 NostrGate - Step into the open web
1487717	lightning	1	292	0	4	14.7	263526	333	recent@lightning|top@lightning		LNL - BIP110 (RDTS) Transition Statement
1487759	bitcoin_beginners	1	282	0	0	13.4	296825	4294	recent@bitcoin_beginners|top@bitcoin_beginners		BitcoinZAR Advocacy Group
1487689	tech	1	282	0	0	15.6	161788	9727	recent@tech|top@tech		Hardware Attestation as Monopoly Enabler
1487688	security	1	159	0	0	15.6	280679	21278	recent@security|top@security		What the Bybit Exploit Reveals About Enterprise Custody
1487761	AI	1	150	0	1	13.3	280679	21278	recent@AI|top@AI		When Billionaires Abolish Economics
1487457	meta	1	57	0	1	24.8	36151	1469	recent@meta		This Day on SN: May 10
1487533	relationships	3	56	0	1	21.5	296825	4294	recent@bitcoin_beginners|top@bitcoin_beginners		I love Freedom Technologies. Happy Mother's Day
1487923	AI	1	47	0	0	2.3	879734	6933	recent@AI|top@AI		ARIS: Autonomous Research via Adversarial Multi-Agent Collaboration
1487771	bitcoin	1	37	0	0	12.7	1444872	22	top@bitcoin|top@lightning|top@nostr		Piggy now speaks Nostr. It signs its own notes. You can't post as it.
1487555	bitcoin_beginners	1	36	0	0	20.3	296825	4294	recent@bitcoin_beginners|top@bitcoin_beginners		Bitcoin isn't real! It's not physical!
1487315	bitcoin	1	36	0	9	34.2	1465659	21	recent@bitcoin_beginners		Saving is a waste! Where on the Bitcoin Spectrum are you?
1487342	security	1	36	0	0	32.1	1248037	1707	recent@security		Estate Planning Checklist: 13 Smart Moves ()
1487916	lightning	1	31	0	0	2.6	263526	333	recent@lightning|top@lightning		A Backup You Never Restored Is Not a Backup
1487259	Design	2	0	0	1	35.5	1248037	1707	recent@bitdevs|recent@devs		Rust but Lisp | Hacker News
1487480	bitcoin	1	0	0	0	23.6	70864	344	recent@lightning|top@lightning		Valet ♦️ 5.0.0 Mainnet: a mobile optimized Lightning node
1487471	AI	1	0	0	0	24.3	1487381	2	recent@AI		Show SN: Cloudwaddie AI
