# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1510988	bitcoin	1	3315	0	1	5.1	984933	1355	recent@bitcoin|top@bitcoin	HOT,SIGNAL	[HM] - The Man Who Turned Everything into Bitcoin and Disappeared
1510882	bitcoin	1	2103	0	1	8.0	74100	10600	recent@bitcoin|top@bitcoin	HOT,SIGNAL	The even more most comprehensive list of Bitcoin podcasts ever assembled
1510852	lightning	1	1246	0	0	8.9	280679	22119	recent@lightning|top@lightning	HOT,SIGNAL	LND: Zero-Timestamp Gossip DoS disclosure
1510769	bitcoin	1	1004	0	7	10.6	21800	490	recent@bitcoin|top@bitcoin|recent@lightning	HOT,SIGNAL	What’s still missing before a business can run its finances on bitcoin?
1510959	bitcoin	1	854	0	0	6.2	74100	10600	recent@bitcoin|top@bitcoin	SIGNAL	Quantum resistant slop proposal: P2WOTS
1510787	lightning	1	606	0	6	10.2	263526	394	recent@lightning|top@lightning	SIGNAL	even if lightning were actually private, scalable, and reliable (it is not)...
1510989	events	3	545	0	1	5.1	74100	10600	recent@bitcoin|top@bitcoin|recent@bitdevs	SIGNAL	TONIGHT: Austin Bitdevs Underground June Edition
1510754	bitcoin	1	240	0	3	10.8	1490792	189	recent@bitcoin_beginners|top@bitcoin_beginners	SIGNAL	Peach Web is finally here!!!
1511067	bitcoin_Mining	1	122	0	0	1.5	864760	45	recent@bitcoin_Mining|top@bitcoin_Mining	FRESH,SIGNAL	Preppin' The Weekly Block Party!
1510922	security	1	113	0	1	7.1	126503	777	recent@security|top@security	SIGNAL	Tor-Based Clipper Malware Targets Wallet Seed Phrases
1510813	AI	1	105	0	0	10.0	280679	22119	recent@AI|top@AI	SIGNAL	A Primer on the Great American Artificial Intelligence Act
1510433	AI	1	2961	0	19	23.5	900202	2402	recent@AI|top@AI	HOT	The AI Revolution is just a Meme
1510387	bitcoin	1	2253	0	21	26.0	74100	10600	recent@bitcoin	HOT	Square terminals now expose Bitcoin toggle to customers
1510641	bitcoin	1	1594	0	1	12.5	1014665	192	recent@bitcoin|top@bitcoin	HOT	Brink Engineering: Toby Sharp on Hornet an executable spec for Bitcoin consensus
1510404	bitcoin	1	1564	0	1	24.9	59752	10	recent@bitcoin	HOT	Defining 0x50 0x00 as unstructured taproot annex data
1510314	bitcoin	1	1039	0	1	29.9	296825	4624	recent@bitcoin|recent@bitcoin_beginners|recent@lightning	HOT	[Documentary] Bigger Than Bitcoin
1510141	bitcoin	1	850	0	1	33.9	1014665	192	recent@bitcoin		Testnet5, private broadcast bug - Bitcoin Optech Newsletter #409 Recap Podcast
1510552	bitcoin	1	836	0	0	15.2	1490792	189	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners		The History Of Hong Kong's Bitcoin Meetup
1510489	bitcoin_beginners	1	808	0	1	17.9	296825	4624	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning		Zeus Release v13.1.0 : Cashu multi-mint, queue-less NWC, CLINK offer support,
1510428	AI	1	716	0	1	24.1	1	26667	recent@tech|recent@AI		Block rolls out Builderbot, a suite of AI-native tools changing how they ship
1510301	bitcoin	1	694	0	16	30.5	182100	824	recent@bitcoin		Cryptonomicon "email"
1510411	tech	1	654	0	7	24.7	1	26667	recent@tech		Snap unveils $2,195 AR glasses as CEO bets on post-smartphone future
1510648	tech	1	574	0	0	12.2	108260	1075	recent@tech|top@tech		AMD silently removes memory encryption from consumer Ryzen CPUs
1510338	bitcoin	1	572	0	7	29.3	74100	10600	recent@bitcoin		mutual switch unlock renew OR king unveils sweet wine to queen in throne room
1510322	lightning	1	499	0	4	29.6	440729	157	recent@lightning		Biggest Channel Opened Today (5.2 BTC) + New Node Spotlight (03d9ae1a0aab2e0c2…)
1510639	nostr	1	482	0	7	12.5	30782	24919	recent@nostr|top@nostr		Shitcoin Party on nostr!
1510151	podcasts	2	475	0	1	33.6	996769	36	recent@bitcoin_beginners		🎙️ From Burma to Freedom: Why Bitcoin Is a Human Rights Tool
1510438	AI	1	446	0	1	23.3	1242375	98	recent@AI|top@AI		Midjourney unveils medical scanner -- is it a joke?
1510413	security	1	407	0	3	24.6	1	26667	recent@security|recent@tech		Group Claims Novo Nordisk Hack stealing 1.3 terabytes of data asking $25m ransom
1510197	bitcoin_Mining	1	355	0	0	32.7	280679	22119	recent@bitcoin_Mining		Oman Launches National Bitcoin Mining Pool Omanhash
1510625	lightning	1	349	0	2	13.1	440729	157	recent@lightning|top@lightning		Biggest Channel Opened Today (2.5 BTC) + New Node Spotlight (03229f869b17b90d2…)
1510221	AI	1	340	0	4	32.4	280679	22119	recent@AI		Americans predict AI’s impact on society, will be more negative than positive
1510499	bitcoin	1	334	0	2	17.6	1490792	189	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners		Bitcoin Solo Mining Beats Every National Lottery - Comparison Table
1510056	meta	1	323	0	4	35.3	36151	1519	recent@meta		What are you working on this week?
1510180	Design	2	293	0	5	33.1	383547	3194	recent@lightning|recent@nostr	SELF_POST_OPP	Amethyst v1.12.0 add CLINK nOffers and nDebits
1510543	bitcoin	1	292	0	4	15.5	166	36585	recent@bitcoin|top@bitcoin|recent@nostr		Interesting game / project - Sats 4 trash
1510527	meta	1	253	0	19	16.0	30782	24919	recent@meta|top@meta		Problem zapping from attached wallet on second account
1510610	AGORA	3	238	0	2	13.3	263526	394	recent@lightning|top@lightning		Marketing Square Bitcoin Payments
1510054	AI	1	210	0	0	35.3	984933	1355	recent@AI		Vozinha becomes an anime hero thanks to AI!
1510608	lol	2	142	0	0	13.4	280679	22119	recent@AI|top@AI		AI nose uses 'Smell Language Model' to sniff out signs of disease
1510169	bitcoinplusplus	1	102	0	2	33.3	296825	4624	recent@bitcoinplusplus|recent@lightning		What if Lightning could communicate, not just transact?
1510597	bitcoin	1	102	0	0	13.6	280679	22119	recent@lightning|top@lightning		Running a Business on Alby Hub [Part 1]
1510244	tech	1	97	0	1	32.0	458256	4732	recent@lightning		Binance set to lose permission to operate in EU, sources say
1510824	bitcoin_beginners	1	36	0	0	9.8	296825	4624	recent@bitcoin_beginners|top@bitcoin_beginners		a joint proposal requiring CADCs issuers to run full KYC/AML
1510799	bitcoin_beginners	1	36	0	0	10.1	296825	4624	recent@bitcoin_beginners|top@bitcoin_beginners		Bitcoin is Money in This Jungle Town
1510571	tech	1	36	0	0	14.4	296825	4624	recent@bitcoin_beginners|top@bitcoin_beginners		Importing Your Wallet Safely With Agentic AQUA
1510772	bitcoin_beginners	1	36	0	0	10.6	296825	4624	recent@bitcoin_beginners|top@bitcoin_beginners		Sometimes the internet is completely down
1510409	lightning	1	21	0	1	24.8	1508500	34	recent@lightning		Is the UX Imperative Killing Lightning's Self-Custody Ideal?
1510757	lightning	1	0	0	1	10.7	296825	4624	recent@lightning|top@lightning		Voltage Credit: Sending and Receiving Bitcoin, but settlement in Fiat?
1510531	lightning	1	0	0	0	15.9	296825	4624	recent@lightning|top@lightning		Lightning Earn
1510190	AI	1	0	0	0	32.9	297791	7580	recent@devs|recent@AI		Air: Multitask with agents, stay in control
1510557	AI	1	0	0	1	15.0	1507735	11	recent@AI|top@AI		Software development
1510969	openagents	1	0	0	1	6.1	534967	215	recent@openagents|top@openagents		Episode 238: The Training Run Begins
