# refreshed_at	name	nitems	stacked	spent	streak
2026-05-11T16:17:21.581Z	TNStacker	0	3680	4213	0
2026-05-11T16:17:21.581Z	OT	25	3419	3679	107
2026-05-11T16:17:21.581Z	StillStackinAfterAllTheseYears	10	3374	1257	1
2026-05-11T16:17:21.581Z	zuspotirko	14	3326	1145	1
2026-05-11T16:17:21.581Z	ek	29	3015	1409	0
2026-05-11T16:17:21.581Z	WeAreAllSatoshi	49	2942	6116	87
2026-05-11T16:17:21.581Z	Malos_10	7	2927	347	0
2026-05-11T16:17:21.581Z	deluluwithjuju_	5	2919	266	0
2026-05-11T16:17:21.581Z	Public_N_M_E	16	2775	3365	218
2026-05-11T16:17:21.581Z	PictureRoom	8	2591	186	0
2026-05-11T16:17:21.581Z	login	0	2471	0	0
2026-05-11T16:17:21.581Z	raw_avocado	11	2463	506	0
2026-05-11T16:17:21.581Z	winteryeti	25	2394	867	1
2026-05-11T16:17:21.581Z	roytheholographicuniverse	2	2389	4	0
2026-05-11T16:17:21.581Z	hn	26	2288	780	0
2026-05-18T16:45:25.671Z	k00b	47	72736	116172	1086
2026-05-18T16:45:25.671Z	Scoresby	103	33710	87708	350
2026-05-18T16:45:25.671Z	BlokchainB	251	28290	67808	944
2026-05-18T16:45:25.671Z	grayruby	151	25646	24723	908
2026-05-18T16:45:25.671Z	0xbitcoiner	143	21326	8281	1
2026-05-18T16:45:25.671Z	SimpleStacker	108	15801	456951	0
2026-05-18T16:45:25.671Z	realBitcoinDog	107	10028	52752	17
2026-05-18T16:45:25.671Z	billytheked	29	7463	52887	0
2026-05-18T16:45:25.671Z	apruden2008	19	7217	48	0
2026-05-18T16:45:25.671Z	gsc360	91	6809	2843	3
2026-05-18T16:45:25.671Z	justin_shocknet	32	6770	510	0
2026-05-18T16:45:25.671Z	Aardvark	1	5742	10	0
2026-05-18T16:45:25.671Z	WeAreAllSatoshi	60	5453	7356	94
2026-05-18T16:45:25.671Z	OneOneSeven	5	5252	4851	43
2026-05-18T16:45:25.671Z	TNStacker	5	4635	54494	2
2026-05-18T16:45:25.671Z	plebpoet	16	4339	945	0
2026-05-18T16:45:25.671Z	joyfam	15	4242	49	0
2026-05-18T16:45:25.671Z	bitcoinplebdev	0	4172	0	0
2026-05-18T16:45:25.671Z	Cje95	33	4154	841	0
2026-05-18T16:45:25.671Z	davidw	0	3980	0	0
2026-05-18T16:45:25.671Z	Malos_10	9	3701	417	0
2026-05-18T16:45:25.671Z	cryotosensei	53	3628	1941	42
2026-05-18T16:45:25.671Z	fanis	1	3477	52	0
2026-05-18T16:45:25.671Z	NEEDcreations	24	3247	64472	5
2026-05-18T16:45:25.671Z	OT	23	3144	3284	114
2026-05-18T16:45:25.671Z	consensus21	0	3115	0	0
2026-05-18T16:45:25.671Z	bilthon_	6	2848	70	0
2026-05-18T16:45:25.671Z	028559d218	15	2811	1950	4
2026-05-18T16:45:25.671Z	Public_N_M_E	15	2746	3090	225
2026-05-18T16:45:25.671Z	south_korea_ln	16	2683	538	0
2026-05-18T16:45:25.671Z	heatpunk	14	2639	232	0
2026-05-18T16:45:25.671Z	login	0	2517	0	0
2026-05-18T16:45:25.671Z	winteryeti	38	2496	1157	1
2026-05-18T16:45:25.671Z	evankaloudis	1	2383	2	0
2026-05-25T16:06:22.474Z	k00b	47	58686	94940	1093
2026-05-25T16:06:22.474Z	Scoresby	80	41317	90340	357
2026-05-25T16:06:22.474Z	grayruby	183	27864	27967	915
2026-05-25T16:06:22.474Z	BlokchainB	218	24320	50417	951
2026-05-25T16:06:22.474Z	0xbitcoiner	114	21403	7565	1
2026-05-25T16:06:22.474Z	SimpleStacker	106	10891	6013	1
2026-05-25T16:06:22.474Z	billytheked	22	8553	4297	23
2026-05-25T16:06:22.474Z	gsc360	90	6870	3058	10
2026-05-25T16:06:22.474Z	Acrylater	32	6791	660	0
2026-05-25T16:06:22.474Z	OneOneSeven	7	6559	4257	50
2026-05-25T16:06:22.474Z	Aardvark	0	5695	50000	0
2026-05-25T16:06:22.474Z	Cje95	38	5282	1377	0
2026-05-25T16:06:22.474Z	ek	31	5038	3149	0
2026-05-25T16:06:22.474Z	WeAreAllSatoshi	69	4588	9275	101
2026-05-25T16:06:22.474Z	rare	13	4505	831	0
2026-05-25T16:06:22.474Z	028559d218	25	4119	3761	1
2026-05-25T16:06:22.474Z	chungkingexpress	3	4077	439	0
2026-05-25T16:06:22.474Z	StillStackinAfterAllTheseYears	13	4063	997	7
2026-05-25T16:06:22.474Z	davidw	0	4038	50000	0
2026-05-25T16:06:22.474Z	suraz	26	4000	938	34
2026-05-25T16:06:22.474Z	satwize	16	3745	3005	5
2026-05-25T16:06:22.474Z	japan_admin	13	3629	50421	0
2026-05-25T16:06:22.474Z	TNStacker	4	3619	3812	0
2026-05-25T16:06:22.474Z	Bell_curve	38	3449	2878	2
2026-05-25T16:06:22.474Z	schmidty	4	3382	591	0
2026-05-25T16:06:22.474Z	plebpoet	20	3084	973	3
2026-05-25T16:06:22.474Z	justin_shocknet	26	2982	1435	0
2026-05-25T16:06:22.474Z	realBitcoinDog	9	2677	399	0
2026-05-25T16:06:22.474Z	Car	19	2671	1980	3
2026-05-25T16:06:22.474Z	Machiavelli23	9	2536	1059	18
2026-05-25T16:06:22.474Z	OT	22	2470	3194	121
2026-05-25T16:06:22.474Z	leo	2	2414	120	0
2026-05-25T16:06:22.474Z	NEEDcreations	13	2275	5559	2
